dataset_config,model,MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T/5T/short,epoch_499-step_50000,176.09122980232573,2060297.756517096,0.7981797416055703,0.7701348927110536
bitbrains_fast_storage/5T/5T/medium,epoch_499-step_50000,274.07942107051656,3010272.751018642,1.1582261950005925,0.826663747820331
bitbrains_fast_storage/5T/5T/long,epoch_499-step_50000,341.1282797454336,4131922.504558108,1.1208643173770911,0.8515887696715976
bitbrains_fast_storage/H/H/short,epoch_499-step_50000,378.7533558693524,3784116.993782613,1.1912437115539043,0.601461123252242
bitbrains_rnd/5T/5T/short,epoch_499-step_50000,129.98659587019864,1770573.7614299145,1.7741450825796916,0.6978790811448099
bitbrains_rnd/5T/5T/medium,epoch_499-step_50000,146.34142772050686,2265920.940038413,4.534642049822668,0.7302777253945884
bitbrains_rnd/5T/5T/long,epoch_499-step_50000,215.98787440367957,2969558.703720263,3.542077361199442,0.7273643196069999
bitbrains_rnd/H/H/short,epoch_499-step_50000,153.71676970302568,1752961.743762504,5.916224194705619,0.6001021710552135
bizitobs_application/10S/short,epoch_499-step_50000,976.1551388888889,4462765.511111111,2.8869341962518367,0.042996638392336084
bizitobs_application/10S/medium,epoch_499-step_50000,2611.864791666667,20962373.973333333,7.635451386229111,0.10815166699322112
bizitobs_application/10S/long,epoch_499-step_50000,3159.905,27169559.893333334,9.392600200634822,0.133438517253254
bizitobs_l2c/5T/5T/short,epoch_499-step_50000,2.8065291268484933,22.412962413969495,0.2913463450769398,0.21412499091244516
bizitobs_l2c/5T/5T/medium,epoch_499-step_50000,8.494389083758504,167.24405824829932,0.8361906455265242,0.7515498908324231
bizitobs_l2c/5T/5T/long,epoch_499-step_50000,12.57811507936508,405.9770634920635,1.1741686801374829,0.8949424288953685
bizitobs_l2c/H/H/short,epoch_499-step_50000,9.484662737165179,208.30828373015873,0.911619008081579,0.9300937846606635
bizitobs_l2c/H/H/medium,epoch_499-step_50000,12.04679710751488,271.09681919642856,1.1749656085052398,1.060799837728985
bizitobs_l2c/H/H/long,epoch_499-step_50000,11.50874255952381,242.0765873015873,1.1558361011533407,0.9551650400609111
bizitobs_service/10S/short,epoch_499-step_50000,47.838426959325396,24161.349770998677,1.6802637325990362,0.09389884053091364
bizitobs_service/10S/medium,epoch_499-step_50000,130.74873015873015,149134.89777777778,4.185023068422959,0.1815982455898396
bizitobs_service/10S/long,epoch_499-step_50000,155.85425925925927,203379.8907936508,4.8375745740189515,0.20799369270472703
car_parts_with_missing/M/short,epoch_499-step_50000,0.49382921454281514,1.3298236739355143,0.8884917215789222,1.8598796451089799
hierarchical_sales/D/D/short,epoch_499-step_50000,2.315637868098259,28.957396885657815,0.7498226621375554,1.0384339219588723
hierarchical_sales/W/W-WED/short,epoch_499-step_50000,9.32821306131654,480.1383015260858,0.7528119281290967,0.47894794400905794
restaurant/D/short,epoch_499-step_50000,7.08985163947943,139.6504608550481,0.6795763877260553,0.39257650024224366
covid_deaths/D/short,epoch_499-step_50000,287.4105909304511,2755565.1741854637,50.142354917598986,0.4331267244041004
hospital/M/short,epoch_499-step_50000,18.53155419433806,2913.225805356367,0.7760913648421234,0.1753494893114733
electricity/15T/15T/short,epoch_499-step_50000,66.52939266720334,174610.86517538535,1.2459063878330026,0.20023761995805037
electricity/15T/15T/medium,epoch_499-step_50000,67.92245294464387,297886.05996313697,1.1217008840871745,0.18023619611143207
electricity/15T/15T/long,epoch_499-step_50000,76.56161160819022,488132.80303229403,1.1866136342637408,0.1846195370402083
electricity/D/D/short,epoch_499-step_50000,4660.1388018018015,1594853944.4987388,1.4898799358171755,0.10047076767945037
electricity/H/H/short,epoch_499-step_50000,191.78158686182522,1799339.1426297685,1.0248977129745125,0.13938998069219477
electricity/H/H/medium,epoch_499-step_50000,262.0380737084741,6207822.8979617115,1.1654742943724326,0.14461494891922597
electricity/H/H/long,epoch_499-step_50000,302.43736270645644,8949012.59658859,1.3351944510307316,0.16004500468794486
electricity/W/W-FRI/short,epoch_499-step_50000,46956.53440315316,205288171776.92252,1.8741956011956191,0.11447136243017537
ett1/15T/15T/short,epoch_499-step_50000,1.137260019211542,4.862854639689128,0.7377929345120762,0.2529240559795782
ett1/15T/15T/medium,epoch_499-step_50000,1.9270318700396825,12.711077628968255,1.2118236613295257,0.45391147114643565
ett1/15T/15T/long,epoch_499-step_50000,2.0796363467261907,13.626979631696429,1.2939548888998045,0.48218887429375
ett1/D/D/short,epoch_499-step_50000,133.11329365079365,38590.71428571428,1.696684944896411,0.4678901780737071
ett1/H/H/short,epoch_499-step_50000,4.890798695882162,99.30602213541667,0.8192645864847009,0.2616879186807452
ett1/H/H/medium,epoch_499-step_50000,7.231992885044643,145.93829985119046,1.297459887206212,0.45630461315476256
ett1/H/H/long,epoch_499-step_50000,8.32688388723545,190.72903439153438,1.521482725979612,0.5151468647885886
ett1/W/W-THU/short,epoch_499-step_50000,850.6888950892857,1194993.0,1.590778140024336,0.566943045756539
ett2/15T/15T/short,epoch_499-step_50000,2.0038514273507255,9.590968250093006,0.8838417521852299,0.14850337042552805
ett2/15T/15T/medium,epoch_499-step_50000,2.623864009796627,16.761992807539684,1.0908946925148812,0.190596252154756
ett2/15T/15T/long,epoch_499-step_50000,2.6464701140873017,16.25258246527778,1.1222782857921936,0.19657930402722368
ett2/D/D/short,epoch_499-step_50000,211.2969742063492,120883.09841269841,1.3859126008821003,0.14439951212663335
ett2/H/H/short,epoch_499-step_50000,6.4378754388718376,109.025830078125,0.7561487905335551,0.1148728041111382
ett2/H/H/medium,epoch_499-step_50000,10.272577194940476,259.90301339285713,1.1410431285539944,0.18970736557467952
ett2/H/H/long,epoch_499-step_50000,10.105334408068783,251.15755621693123,1.1494510608389334,0.20177653532704712
ett2/W/W-THU/short,epoch_499-step_50000,1901.8224051339287,7425534.857142857,1.2770647753268387,0.22182478153256138
solar/10T/10T/short,epoch_499-step_50000,2.656375125782913,30.66359973174232,1.1715526743550393,1.5943140828817937
solar/10T/10T/medium,epoch_499-step_50000,4.43011768647354,43.67886875138244,2.003240080161296,1.572415463695476
solar/10T/10T/long,epoch_499-step_50000,5.478143424399964,60.177431268374896,2.44724217760163,1.6116332562944329
solar/D/D/short,epoch_499-step_50000,287.0042959245742,190338.76788321167,1.1206971526720146,0.44588435325273684
solar/H/H/short,epoch_499-step_50000,11.884632237117229,643.7888474036369,0.9161321124307354,1.4177000898546082
solar/H/H/medium,epoch_499-step_50000,12.267744746521442,709.4980535279806,0.9349488576155395,1.4169219931045098
solar/H/H/long,epoch_499-step_50000,13.534468933748986,748.5442036699108,1.0294064040001767,1.4227616506363374
solar/W/W-FRI/short,epoch_499-step_50000,1465.052121350365,3202631.270072993,1.612407482572649,0.2742797162300158
jena_weather/10T/10T/short,epoch_499-step_50000,7.565191526261587,1217.5840174508473,0.32569664950440497,0.5875737236783386
jena_weather/10T/10T/medium,epoch_499-step_50000,14.347510681592713,2032.6080785533911,0.6926562839248422,0.6781372498484312
jena_weather/10T/10T/long,epoch_499-step_50000,15.531251808449074,2095.462454530423,0.7386111886146494,0.6666176264489644
jena_weather/D/D/short,epoch_499-step_50000,11.628277684771826,555.5082837301587,1.2602849734916652,0.4802269726342592
jena_weather/H/H/short,epoch_499-step_50000,8.780048864327975,1112.5198190381552,0.5295703419545081,0.6127285132300477
jena_weather/H/H/medium,epoch_499-step_50000,11.421316964285714,1409.2125992063493,0.8373859503129909,0.6903368926127278
jena_weather/H/H/long,epoch_499-step_50000,13.108739459325397,1346.9645502645503,1.0762451187432367,0.682086014407944
kdd_cup_2018_with_missing/D/D/short,epoch_499-step_50000,21.395630183138422,2973.1746542323294,1.209976201119912,0.4741349365436813
kdd_cup_2018_with_missing/H/H/short,epoch_499-step_50000,22.56499410324966,4658.333406741322,0.9377152217210505,0.5019191055729775
kdd_cup_2018_with_missing/H/H/medium,epoch_499-step_50000,24.65443726606346,5079.399436358291,1.0259453370721199,0.5472474814839431
kdd_cup_2018_with_missing/H/H/long,epoch_499-step_50000,23.487472060451953,3955.3537439726742,0.9990721154046542,0.594716628375447
temperature_rain_with_missing/D/short,epoch_499-step_50000,5.904347140154629,184.71913072693098,1.3856582178345913,1.4924774267783254
saugeenday/D/D/short,epoch_499-step_50000,13.328709309895833,1173.1303125,2.9615448460917184,0.3501915829651854
saugeenday/M/M/short,epoch_499-step_50000,13.566397530691964,440.76967075892856,0.7946858913132434,0.39821589250814504
saugeenday/W/W-THU/short,epoch_499-step_50000,18.464596557617188,1470.80234375,1.4979067701718278,0.47640612451549946
us_births/D/D/short,epoch_499-step_50000,343.37015625,252821.41333333333,0.5053736067781025,0.03220772454693556
us_births/M/M/short,epoch_499-step_50000,10788.794270833334,156578560.0,1.2240462180327552,0.03376376341810488
us_births/W/W-TUE/short,epoch_499-step_50000,1514.0008370535713,4282374.285714285,1.3762203521244525,0.02043983152546176
