dataset_config,model,MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T/5T/short,epoch_999-step_100000-v2,178.06040034607895,1744244.580894094,0.7724074059098613,0.773096973054875
bitbrains_fast_storage/5T/5T/medium,epoch_999-step_100000-v2,281.09546133980865,2665532.7503853915,1.0965806917099499,0.8335436482557813
bitbrains_fast_storage/5T/5T/long,epoch_999-step_100000-v2,366.57841331260545,3746291.33120114,1.0106878936945856,0.8600133795371735
bitbrains_fast_storage/H/H/short,epoch_999-step_100000-v2,361.878329561934,3339463.3619268867,1.1582611981799535,0.600926416148205
bitbrains_rnd/5T/5T/short,epoch_999-step_100000-v2,130.32735705868217,1650831.3291692878,1.7455944769143599,0.6980108361456044
bitbrains_rnd/5T/5T/medium,epoch_999-step_100000-v2,147.068782465944,2233013.6773462826,4.513291685389904,0.7616444555676458
bitbrains_rnd/5T/5T/long,epoch_999-step_100000-v2,176.0395535358611,2268501.3512564767,3.505773106624544,0.7507651642594012
bitbrains_rnd/H/H/short,epoch_999-step_100000-v2,186.58440259563807,1815367.44618679,5.93782643258101,0.6152589295395272
bizitobs_application/10S/short,epoch_999-step_100000-v2,1128.6263194444443,5300135.822222223,3.2298049807355973,0.04750019005791575
bizitobs_application/10S/medium,epoch_999-step_100000-v2,2882.335416666667,22423695.36,7.748433445392217,0.1101903078545691
bizitobs_application/10S/long,epoch_999-step_100000-v2,3538.801388888889,33586890.524444446,8.8532635648327,0.12752399985778326
bizitobs_l2c/5T/5T/short,epoch_999-step_100000-v2,2.7378011431012834,21.277569870721727,0.2910314123144938,0.21433973839763845
bizitobs_l2c/5T/5T/medium,epoch_999-step_100000-v2,10.113444674744898,196.85697278911564,0.9712337600539827,0.9149791718418105
bizitobs_l2c/5T/5T/long,epoch_999-step_100000-v2,14.763544146825398,418.84246031746034,1.3743271373073687,1.2188288570527088
bizitobs_l2c/H/H/short,epoch_999-step_100000-v2,8.980792333209326,178.25153459821428,0.8673571333090945,0.8054151533494353
bizitobs_l2c/H/H/medium,epoch_999-step_100000-v2,11.106172107514881,215.1321242559524,1.0970250080794068,0.9109005384489771
bizitobs_l2c/H/H/long,epoch_999-step_100000-v2,11.826914372519841,233.6639136904762,1.2103051917548378,0.8885988203382509
bizitobs_service/10S/short,epoch_999-step_100000-v2,53.25857602719908,28538.29389136905,1.8718630205143352,0.09784254923815269
bizitobs_service/10S/medium,epoch_999-step_100000-v2,138.8398040674603,161372.8203174603,4.2974179567893955,0.17319305106197033
bizitobs_service/10S/long,epoch_999-step_100000-v2,178.321626984127,225213.19619047618,5.022848338168828,0.2039745174823338
car_parts_with_missing/M/short,epoch_999-step_100000-v2,0.5005970936270053,1.3248731295267742,0.9058180880915777,1.8478826542640587
hierarchical_sales/D/D/short,epoch_999-step_100000-v2,2.3410565707840276,28.899544055523975,0.7568169089832985,1.045887783738326
hierarchical_sales/W/W-WED/short,epoch_999-step_100000-v2,9.574607267218122,487.0480191505562,0.7797763885724653,0.49221507119208446
restaurant/D/short,epoch_999-step_100000-v2,7.107412708610605,141.57585647823853,0.681985840667207,0.3948424056060206
covid_deaths/D/short,epoch_999-step_100000-v2,277.1279796170113,2407096.7463659146,49.8000101646095,0.43053573948166257
hospital/M/short,epoch_999-step_100000-v2,20.515478844541096,3532.8599725662757,0.8111936454097283,0.1805598455782606
electricity/15T/15T/short,epoch_999-step_100000-v2,67.60732445656716,180515.2446592149,1.2493610358436984,0.19959275359170248
electricity/15T/15T/medium,epoch_999-step_100000-v2,72.31370607228322,358549.09431302786,1.1365246718236774,0.18092443199488994
electricity/15T/15T/long,epoch_999-step_100000-v2,80.27140759020739,528743.7176423611,1.1927843209953715,0.18330205922404158
electricity/D/D/short,epoch_999-step_100000-v2,4454.97284009009,1397189627.7725406,1.4889935200165976,0.10047644663661259
electricity/H/H/short,epoch_999-step_100000-v2,191.2958738474803,1663380.548021713,1.039442547028285,0.1417521389686242
electricity/H/H/medium,epoch_999-step_100000-v2,292.4648411106419,9942975.619431306,1.2094899407357789,0.14848139067855107
electricity/H/H/long,epoch_999-step_100000-v2,337.51839761636637,13726186.305165166,1.3962032260486854,0.1648755144355285
