dataset_config,model,MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T/5T/short,epoch_epoch_0599,197.05697223273125,68291821.01069096,0.8844041881756421,0.7729033705400413
bitbrains_fast_storage/5T/5T/medium,epoch_epoch_0599,328.336531868442,6255384.660362726,1.1236095447614767,0.8161636215454161
bitbrains_fast_storage/5T/5T/long,epoch_epoch_0599,403.963531951129,7720033.285124227,1.0416337229314636,0.8289866516699039
bitbrains_fast_storage/H/H/short,epoch_epoch_0599,344.6915780933374,20097732.531776685,1.2710380071749563,0.6044270993014483
bitbrains_rnd/5T/5T/short,epoch_epoch_0599,139.20919297050318,47821617.74189791,1.9498363770933538,0.6977902119535503
bitbrains_rnd/5T/5T/medium,epoch_epoch_0599,245.82073623698903,308038353.9585031,4.677490659060636,0.7619417780367942
bitbrains_rnd/5T/5T/long,epoch_epoch_0599,242.07395995706992,65108043.48413273,3.673223912852958,0.7492548286593127
bitbrains_rnd/H/H/short,epoch_epoch_0599,180.78864897452405,7274757.985471068,6.263513735338165,0.6242645674397248
bizitobs_application/10S/short,epoch_epoch_0599,1414.9456944444444,13563572.906666666,3.377763134995013,0.05267461564805773
bizitobs_application/10S/medium,epoch_epoch_0599,3029.065625,35379572.053333335,6.905342622771512,0.10174299240112304
bizitobs_application/10S/long,epoch_epoch_0599,3284.8675,36378737.777777776,7.444350620290865,0.1098020256890191
bizitobs_l2c/5T/5T/short,epoch_epoch_0599,3.555482700892857,29.903111921037947,0.3595431053628309,0.2313702520870027
bizitobs_l2c/5T/5T/medium,epoch_epoch_0599,9.391329852253401,193.521662414966,0.9148200288039343,0.8613174957482993
bizitobs_l2c/5T/5T/long,epoch_epoch_0599,13.598268849206349,387.5456746031746,1.263635464415598,1.108802005828373
bizitobs_l2c/H/H/short,epoch_epoch_0599,8.321794782366071,151.31063988095238,0.8281791680086221,0.7730973864358569
bizitobs_l2c/H/H/medium,epoch_epoch_0599,8.718567475818453,167.93878348214287,0.8647321636620533,0.8825447445824033
bizitobs_l2c/H/H/long,epoch_epoch_0599,9.181499565972222,169.43410218253968,0.9442539270541024,0.8569985041542659
bizitobs_service/10S/short,epoch_epoch_0599,72.92144464079034,71180.25844287367,2.392173897809355,0.10480603858907386
bizitobs_service/10S/medium,epoch_epoch_0599,144.62712549603174,170719.34984126984,4.072816471343398,0.15232302953326513
bizitobs_service/10S/long,epoch_epoch_0599,163.13865079365078,251016.39788359788,4.0566348749659396,0.161327388702877
car_parts_with_missing/M/short,epoch_epoch_0599,0.5093304345343904,2474.762263537625,0.9163678356284927,1.8448419653278147
hierarchical_sales/D/D/short,epoch_epoch_0599,2.3344156127273665,30.594182973659052,0.7571583519252286,1.0449737258665126
hierarchical_sales/W/W-WED/short,epoch_epoch_0599,9.571733701027046,813.5630255230402,0.7744943817877431,0.4792345176308842
restaurant/D/short,epoch_epoch_0599,7.731884774745786,169.5860914588587,0.7385506636580601,0.41922013316711615
covid_deaths/D/short,epoch_epoch_0599,220.6593661889098,1576790.4922305765,39.509537793377795,0.3902824736478036
hospital/M/short,epoch_epoch_0599,20.561439616946437,6847.035107018687,0.8078231200292857,0.18416584351434753
electricity/15T/15T/short,epoch_epoch_0599,89.6244487425658,291742.7282544605,1.6573110573937624,0.2410034629377543
electricity/15T/15T/medium,epoch_epoch_0599,99.43373415285403,937769.0985744299,1.3935789371389447,0.21280796561870777
electricity/15T/15T/long,epoch_epoch_0599,120.04159776915587,1685658.0205227102,1.5233344627682623,0.21951901655451422
electricity/D/D/short,epoch_epoch_0599,5514.646457207207,2857384038.4484324,1.684983589675213,0.11434037615801837
electricity/H/H/short,epoch_epoch_0599,197.86847944929792,1734022.3528100366,1.0873291669095357,0.14368478154276942
electricity/H/H/medium,epoch_epoch_0599,273.3615496551239,6755199.850976914,1.2207515447782047,0.14834555711832131
electricity/H/H/long,epoch_epoch_0599,300.8367653903904,9648288.615675675,1.3160521008956052,0.15916871508534547
