model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config
baseline_10k,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.9591991596761975,,3.149608549894765,110,7c9ee0786e7de9fc,False,0.7.0,0.9591991596761975,1.1688323051822949,0.09912019119475471,0.0811196175486942,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.8029490017091707,,0.5161260213935748,20,eb4b54a1ec3114bf,False,0.7.0,0.8029490017091707,1.002957310995215,0.04921623762905861,0.03938029850202363,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.95022468097408,,1.2722213277593255,160,2c63b48ca8f6dd9a,False,0.7.0,0.95022468097408,1.1898234315567333,0.08022335093960045,0.06414470493708287,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.204798509561373,,5.193268758943304,4116,342144c38d5dc10c,False,0.7.0,1.204798509561373,1.443241619809047,0.39302984879849934,0.3289843752466199,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.2224778646512544,,0.07850007398519665,35,1774b84125cff789,False,0.7.0,1.2224778646512544,1.5146634740943785,0.06958001822350975,0.056339342526914325,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.554239000136508,,4.032827380928211,3942,3f764be9de4e34fe,False,0.7.0,1.554239000136508,1.8635410639891448,0.29070066833982455,0.2398861404682445,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.5310307271456123,,0.06768888200167567,35,bbb0372c6d5883ab,False,0.7.0,1.5310307271456123,1.9010597536887368,0.06288676771398151,0.05061473612791315,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.9766363101146002,,1.2862105150707066,120,4e80c208c8b54e76,False,0.7.0,0.9766363101146002,1.2481099554890336,0.09156647945332293,0.07266910386626854,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.9143010955526417,,0.967535687261261,120,7a3623a47fa39853,False,0.7.0,0.9143010955526417,1.1929736233803137,0.08610152401524031,0.0658781726118922,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
baseline_10k,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.5067249034538037,,1.18273732799571,120,a900217b9207dc1a,False,0.7.0,0.5067249034538037,0.6270823862885195,0.03817704217496879,0.03122745061346832,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
