model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config
bl_s0_10k,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.9335652650936925,,4.721227316069417,110,7c9ee0786e7de9fc,False,0.7.0,0.9335652650936925,1.1380341028354952,0.09668310172615033,0.07912453494987623,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.6929005315377778,,0.564928348059766,20,eb4b54a1ec3114bf,False,0.7.0,0.6929005315377778,0.8689364681129499,0.04233814170109225,0.03372475690171271,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.8712810977682681,,1.3927352959872223,160,2c63b48ca8f6dd9a,False,0.7.0,0.8712810977682681,1.0919379931449134,0.07253248082762256,0.05778587006720637,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.207509481851931,,5.95533126097871,4116,342144c38d5dc10c,False,0.7.0,1.207509481851931,1.4401738415535978,0.3935765005290717,0.33132724589857115,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.2034973995651568,,0.09137381496839225,35,1774b84125cff789,False,0.7.0,1.2034973995651568,1.4798951579336932,0.06839509291207224,0.05561417478646463,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.5512882693921113,,4.480419755971525,3942,3f764be9de4e34fe,False,0.7.0,1.5512882693921113,1.8660580881528026,0.28972151879857677,0.23886357533145605,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.4298369190547926,,0.078121141938027,35,bbb0372c6d5883ab,False,0.7.0,1.4298369190547926,1.7758795138536656,0.058760902987240404,0.047149838226047534,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.734780198074879,,1.4132210160023533,120,4e80c208c8b54e76,False,0.7.0,0.734780198074879,0.9615211113362033,0.06536138227075733,0.049255687212660146,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.5790388659863848,,1.0929331229999661,120,7a3623a47fa39853,False,0.7.0,0.5790388659863848,0.7103043211530116,0.048858433311765384,0.03975562380884601,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
bl_s0_10k,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.5099057533533291,,1.3099561710259877,120,a900217b9207dc1a,False,0.7.0,0.5099057533533291,0.6329544620674492,0.04001280558530106,0.03223867749359022,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
