model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config
moirai-2.0-R-small,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.7927828698290151,,2.120584827149287,110,7c9ee0786e7de9fc,False,0.7.0,0.7927828698290151,0.9538351110261711,0.08034298152449934,0.0667733923891544,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.676637857756629,,0.4968363943044096,20,eb4b54a1ec3114bf,False,0.7.0,0.676637857756629,0.8457823258711784,0.04126923765072692,0.03301039300740625,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.7739799250202035,,1.2838950082659721,160,2c63b48ca8f6dd9a,False,0.7.0,0.7739799250202035,0.9627773187731128,0.06468640615297336,0.05189403651067259,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.1708099548181838,,5.2068972329143435,4116,342144c38d5dc10c,False,0.7.0,1.1708099548181838,1.4031572885924377,0.38203612498003936,0.32011031742401913,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,0.9674815954046021,,0.08583397720940411,35,1774b84125cff789,False,0.7.0,0.9674815954046021,1.1719740038999502,0.05496177440725157,0.04522554518213749,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.5022902595447907,,4.043444438138977,3942,3f764be9de4e34fe,False,0.7.0,1.5022902595447907,1.8077570407976802,0.28584547665373483,0.23504534226726997,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.5086178804169728,,0.07095891190692782,35,bbb0372c6d5883ab,False,0.7.0,1.5086178804169728,1.8401708275829798,0.06131553818098222,0.05013726928626946,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.4782887079430814,,1.2970780860632658,120,4e80c208c8b54e76,False,0.7.0,0.4782887079430814,0.5933312293922176,0.0423905648687833,0.034334443938749425,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.4883587184873983,,0.9718655881006271,120,7a3623a47fa39853,False,0.7.0,0.4883587184873983,0.5973972546993764,0.03826758108406768,0.03184405516079464,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
moirai-2.0-R-small,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.48707323885666015,,1.1848104756791145,120,a900217b9207dc1a,False,0.7.0,0.48707323885666015,0.5924217616426288,0.039572719881698235,0.0332855689819554,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
