model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config
ms_d4d6_10k,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.8759785594095304,,3.1638977450784296,110,7c9ee0786e7de9fc,False,0.7.0,0.8759785594095304,1.0657168167205402,0.09143195244574737,0.07477218730597515,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.8220486666415516,,0.5541648559737951,20,eb4b54a1ec3114bf,False,0.7.0,0.8220486666415516,1.0101357053648052,0.04965319802543368,0.040408489642066815,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.953394731508412,,1.3749959962442517,160,2c63b48ca8f6dd9a,False,0.7.0,0.953394731508412,1.2079630192049908,0.080690457470141,0.06354744120752814,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.2053139272318838,,5.3145582599099725,4116,342144c38d5dc10c,False,0.7.0,1.2053139272318838,1.4411055425691468,0.39192966141025043,0.3286164605711126,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.2899528429508043,,0.09280862309969962,35,1774b84125cff789,False,0.7.0,1.2899528429508043,1.597656723946801,0.07304178933212756,0.05909036338720477,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.5568907356811255,,4.114333036122844,3942,3f764be9de4e34fe,False,0.7.0,1.5568907356811255,1.8731199208145237,0.29486965811343424,0.24289507059536192,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.4529404984406795,,0.0806678282096982,35,bbb0372c6d5883ab,False,0.7.0,1.4529404984406795,1.8004109992014299,0.06016474829881781,0.048349152468801365,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.781341483255396,,1.3688173142727464,120,4e80c208c8b54e76,False,0.7.0,0.781341483255396,0.9958418320870315,0.07461853387146336,0.05810053856208121,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.7441150536815326,,1.038847921648994,120,7a3623a47fa39853,False,0.7.0,0.7441150536815326,0.9535721567783929,0.06635360553506728,0.052128443700468444,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
ms_d4d6_10k,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.49439315798175026,,1.2758991913869977,120,a900217b9207dc1a,False,0.7.0,0.49439315798175026,0.6075674425166291,0.037385927711307776,0.030699064861313678,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
