model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config
q_s8d4_10k,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.9964802444526386,,4.98323453089688,110,7c9ee0786e7de9fc,False,0.7.0,0.9964802444526386,1.1822945139287189,0.09888531861634739,0.0832757934828532,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.7917558115908014,,3.287608240963891,20,eb4b54a1ec3114bf,False,0.7.0,0.7917558115908014,0.9555200433592617,0.046876696809638525,0.03883241102304032,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,1.0069549581190622,,4.043465621769428,160,2c63b48ca8f6dd9a,False,0.7.0,1.0069549581190622,1.2256273154820316,0.08368980925047423,0.06887385039783579,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.1972292760491188,,5.334789340966381,4116,342144c38d5dc10c,False,0.7.0,1.1972292760491188,1.4327257468506829,0.39025005209367103,0.3271479822138491,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.185672929061099,,0.21457429509609938,35,1774b84125cff789,False,0.7.0,1.185672929061099,1.4558664251301439,0.06822861918100888,0.05575000189024074,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.548676739233589,,4.128111736965366,3942,3f764be9de4e34fe,False,0.7.0,1.548676739233589,1.8713775698806137,0.2950232114597878,0.24097953405312386,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.4777990903286806,,0.10791253193747252,35,bbb0372c6d5883ab,False,0.7.0,1.4777990903286806,1.791166069848245,0.05976030415094948,0.049078149458000854,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.7885070037886548,,2.370972503791563,120,4e80c208c8b54e76,False,0.7.0,0.7885070037886548,1.033928667634706,0.0738074499310675,0.05589066254159177,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.8703774779910901,,2.048612072132528,120,7a3623a47fa39853,False,0.7.0,0.8703774779910901,1.0614309332151373,0.07944533275635483,0.06539390966761047,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
q_s8d4_10k,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.5150565352334697,,3.965234512113966,120,a900217b9207dc1a,False,0.7.0,0.5150565352334697,0.6277487697225853,0.038153982862267496,0.0315978923233449,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
