model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config
strongL2_25k,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.8409337649872611,,4.53871722810436,110,7c9ee0786e7de9fc,False,0.7.0,0.8409337649872611,1.0220357081362388,0.08606022773003888,0.07085173654208929,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.8109923848541559,,3.180689617060125,20,eb4b54a1ec3114bf,False,0.7.0,0.8109923848541559,1.0324582988334388,0.05066803614361286,0.039773642607391343,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.9790127520628819,,4.02129811712075,160,2c63b48ca8f6dd9a,False,0.7.0,0.9790127520628819,1.2672665415634439,0.08594252037735686,0.06647406321758795,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.2007468059747153,,5.305483896983787,4116,342144c38d5dc10c,False,0.7.0,1.2007468059747153,1.4374113010574392,0.39098961191223147,0.3268204487515364,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.2677060168067644,,0.21479330793954432,35,1774b84125cff789,False,0.7.0,1.2677060168067644,1.5680411581498785,0.0715940397673025,0.05806526158985241,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.5426332884798137,,4.115930558997206,3942,3f764be9de4e34fe,False,0.7.0,1.5426332884798137,1.8594898980977907,0.29016230273425225,0.23851096686345105,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.5239081143870425,,0.10841970308683813,35,bbb0372c6d5883ab,False,0.7.0,1.5239081143870425,1.8876546553320093,0.06208038648891699,0.05027616453806871,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,1.033687914505444,,2.354514286154881,120,4e80c208c8b54e76,False,0.7.0,1.033687914505444,1.322618512196739,0.09217995532705328,0.07366813034957076,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,1.175741087438319,,2.0382122131995857,120,7a3623a47fa39853,False,0.7.0,1.175741087438319,1.532652674928772,0.110331831685582,0.08420394937802453,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.5429105746389689,,3.940256409929134,120,a900217b9207dc1a,False,0.7.0,0.5429105746389689,0.6839733424933974,0.04290867559296916,0.034435504340401726,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,epf_be,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Generation forecast', 'System load forecast']",[],[],epf_be,0.6619151367285324,,0.4948250009911135,20,fef9300bbbbc0b06,False,0.7.0,0.6619151367285324,0.8140826859300383,0.14863027452015198,0.12085401351483412,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,epf_de,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Ampirion Load Forecast', 'PV+Wind Forecast']",[],[],epf_de,1.124924230279301,,0.4928009520517662,20,b0b822e47c7608d3,False,0.7.0,1.124924230279301,1.3878740819808764,0.6213125171890939,0.5051170209486023,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,epf_fr,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Generation forecast', 'System load forecast']",[],[],epf_fr,0.5824012870212363,,0.4923564052442089,20,8f5f11f4c654e31f,False,0.7.0,0.5824012870212363,0.6922835122613122,0.10748026342683965,0.09039468298526189,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,epf_np,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Grid load forecast', 'Wind power forecast']",[],[],epf_np,1.2023634119272424,,0.4909606340806931,20,269b47960e0cd2ad,False,0.7.0,1.2023634119272424,1.4720579125565414,0.06609055677208671,0.053640471448485286,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,epf_pjm,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['System load forecast', 'Zonal COMED load foecast']",[],[],epf_pjm,0.4226665211244228,,0.4924976460170001,20,7087b94a370e1baa,False,0.7.0,0.4226665211244228,0.5074592966826339,0.09017096191115644,0.07494649881562451,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,rossmann_1D,48,10,-480,48,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,Sales,,"['DayOfWeek', 'Open', 'Promo', 'SchoolHoliday', 'StateHoliday']",['Customers'],"['Assortment', 'CompetitionDistance', 'CompetitionOpenSinceMonth', 'CompetitionOpenSinceYear', 'Promo2', 'Promo2SinceWeek', 'Promo2SinceYear', 'PromoInterval', 'Store', 'StoreType']",rossmann_1D,0.780499060525609,,13.668672945699655,11150,d499bbd84fee3641,False,0.7.0,0.780499060525609,0.9812796889421745,0.3338062582970607,0.2651257475799279,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
strongL2_25k,autogluon/fev_datasets,rossmann_1W,13,8,-104,13,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,Sales,,"['Open', 'Promo', 'SchoolHoliday', 'StateHoliday']",['Customers'],"['Assortment', 'CompetitionDistance', 'CompetitionOpenSinceMonth', 'CompetitionOpenSinceYear', 'Promo2', 'Promo2SinceWeek', 'Promo2SinceYear', 'PromoInterval', 'Store', 'StoreType']",rossmann_1W,0.5096330281880062,,9.163274760707282,8920,8fdc1f957d1b917b,False,0.7.0,0.5096330281880062,0.6762878805399313,0.18275787859699105,0.13632972013798017,"{'context_length': 4000, 'batch_size': 512, 'device': 'cuda', 'seed': 123}"
