dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE,error
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48.0,184.89179395056644,1761871.344801264,0.903620756498557,0.7977316585480636,184.89179395056644,1761871.344801264,0.903620756498557,0.7977316585480636,
bitbrains_fast_storage/5T,medium,?,bitbrains_fast_storage/5T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
bitbrains_fast_storage/5T,long,?,bitbrains_fast_storage/5T/?/long,,,,,,,,,,too many values to unpack (expected 3)
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48.0,406.0664232653102,3758720.276325091,1.3295382560061386,0.6326800419135363,406.0664232653102,3758720.276325091,1.3295382560061386,0.6326800419135363,
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48.0,134.8235873115672,1542336.9418057236,1.9645418169888769,0.7562246524283852,134.8235873115672,1542336.9418057236,1.9645418169888769,0.7562246524283852,
bitbrains_rnd/5T,medium,?,bitbrains_rnd/5T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
bitbrains_rnd/5T,long,?,bitbrains_rnd/5T/?/long,,,,,,,,,,too many values to unpack (expected 3)
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48.0,165.82686050224476,1649927.6334036053,6.201970678631724,0.667350858397567,165.82686050224476,1649927.6334036053,6.201970678631724,0.667350858397567,
bizitobs_application,short,10S,bizitobs_application/10S/short,60.0,1045.8914583333333,4226372.266666667,2.9687751347207745,0.04422293844437437,1045.8914583333333,4226372.266666667,2.9687751347207745,0.04422293844437437,
bizitobs_application,medium,?,bizitobs_application/?/medium,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_application,long,?,bizitobs_application/?/long,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48.0,3.7173187255859377,28.718640718005954,0.37887648437441396,0.24547697398699886,3.7173187255859377,28.718640718005954,0.37887648437441396,0.24547697398699886,
bizitobs_l2c/5T,medium,?,bizitobs_l2c/5T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_l2c/5T,long,?,bizitobs_l2c/5T/?/long,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48.0,6.679462735615079,121.27853732638889,0.6635235477089724,0.7063012902523634,6.679462735615079,121.27853732638889,0.6635235477089724,0.7063012902523634,
bizitobs_l2c/H,medium,?,bizitobs_l2c/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_l2c/H,long,?,bizitobs_l2c/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_service,short,10S,bizitobs_service/10S/short,60.0,51.8083255828373,25367.2832390873,1.7603666797647737,0.1016074533102129,51.8083255828373,25367.2832390873,1.7603666797647737,0.1016074533102129,
bizitobs_service,medium,?,bizitobs_service/?/medium,,,,,,,,,,too many values to unpack (expected 3)
bizitobs_service,long,?,bizitobs_service/?/long,,,,,,,,,,too many values to unpack (expected 3)
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12.0,0.5046001320042363,1.3019875581162819,0.904841466156227,1.8448410583464507,0.5046001320042363,1.3019875581162819,0.904841466156227,1.8448410583464507,
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30.0,2.2954547757499224,29.334834416339397,0.7468247489450885,1.0456618381389269,2.2954547757499224,29.334834416339397,0.7468247489450885,1.0456618381389269,
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8.0,9.432778827214646,485.84161376953125,0.7644265154942634,0.485137769188857,9.432778827214646,485.84161376953125,0.7644265154942634,0.485137769188857,
restaurant,short,D,restaurant/D/short,30.0,7.330252058378864,146.66792825371252,0.6989277605076248,0.4021340468205078,7.330252058378864,146.66792825371252,0.6989277605076248,0.4021340468205078,
covid_deaths,short,D,covid_deaths/D/short,30.0,491.40507714599,6984895.10651629,63.38966147546639,0.4983523317704189,491.40507714599,6984895.10651629,63.38966147546639,0.4983523317704189,
hospital,short,M,hospital/M/short,12.0,19.20078990792047,3260.0430179813125,0.784394502378746,0.1774789296757325,19.20078990792047,3260.0430179813125,0.784394502378746,0.1774789296757325,
electricity/15T,short,15T,electricity/15T/15T/short,48.0,71.74384516123179,185836.39379570488,1.3775970960375217,0.21458588026521755,71.74384516123179,185836.39379570488,1.3775970960375217,0.21458588026521755,
electricity/15T,medium,?,electricity/15T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
electricity/15T,long,?,electricity/15T/?/long,,,,,,,,,,too many values to unpack (expected 3)
electricity/D,short,D,electricity/D/D/short,30.0,4591.483270270271,1473766786.5277116,1.5547437830363995,0.10767935425549273,4591.483270270271,1473766786.5277116,1.5547437830363995,0.10767935425549273,
electricity/H,short,H,electricity/H/H/short,48.0,194.9126712668479,1642507.1345046805,1.02987028904533,0.13936675448529207,194.9126712668479,1642507.1345046805,1.02987028904533,0.13936675448529207,
electricity/H,medium,?,electricity/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
electricity/H,long,?,electricity/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
electricity/W,short,W-FRI,electricity/W/W-FRI/short,8.0,42803.071143018016,139710442844.94415,1.910089171110596,0.1152596581750043,42803.071143018016,139710442844.94415,1.910089171110596,0.1152596581750043,
ett1/15T,short,15T,ett1/15T/15T/short,48.0,1.168601739974249,4.756699925377255,0.7720579668088229,0.2565267509970385,1.168601739974249,4.756699925377255,0.7720579668088229,0.2565267509970385,
ett1/15T,medium,?,ett1/15T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
ett1/15T,long,?,ett1/15T/?/long,,,,,,,,,,too many values to unpack (expected 3)
ett1/D,short,D,ett1/D/D/short,30.0,138.26674107142858,39716.184126984124,1.7677156412543333,0.4886767595259008,138.26674107142858,39716.184126984124,1.7677156412543333,0.4886767595259008,
ett1/H,short,H,ett1/H/H/short,48.0,5.325303177606492,109.26850353422618,0.8886732821804435,0.2807389301899704,5.325303177606492,109.26850353422618,0.8886732821804435,0.2807389301899704,
ett1/H,medium,?,ett1/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
ett1/H,long,?,ett1/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
ett1/W,short,W-THU,ett1/W/W-THU/short,8.0,871.4990234375,1292761.7142857143,1.5248250031429642,0.5074820662717585,871.4990234375,1292761.7142857143,1.5248250031429642,0.5074820662717585,
ett2/15T,short,15T,ett2/15T/15T/short,48.0,2.0519929976690383,9.825137474423363,0.8692722363057092,0.14248532473909295,2.0519929976690383,9.825137474423363,0.8692722363057092,0.14248532473909295,
ett2/15T,medium,?,ett2/15T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
ett2/15T,long,?,ett2/15T/?/long,,,,,,,,,,too many values to unpack (expected 3)
ett2/D,short,D,ett2/D/D/short,30.0,237.56800595238096,135460.38095238095,1.7460068268596836,0.18302056694959312,237.56800595238096,135460.38095238095,1.7460068268596836,0.18302056694959312,
ett2/H,short,H,ett2/H/H/short,48.0,6.963592529296875,118.03302641369048,0.8055225803401673,0.1205526712037493,6.963592529296875,118.03302641369048,0.8055225803401673,0.1205526712037493,
ett2/H,medium,?,ett2/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
ett2/H,long,?,ett2/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
ett2/W,short,W-THU,ett2/W/W-THU/short,8.0,2125.228934151786,8150098.285714285,1.5720821455797638,0.25575056277618996,2125.228934151786,8150098.285714285,1.5720821455797638,0.25575056277618996,
solar/10T,short,10T,solar/10T/10T/short,48.0,2.880593645601667,31.227443574408834,1.2751511512078326,1.5844611915062325,2.880593645601667,31.227443574408834,1.2751511512078326,1.5844611915062325,
solar/10T,medium,?,solar/10T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
solar/10T,long,?,solar/10T/?/long,,,,,,,,,,too many values to unpack (expected 3)
solar/D,short,D,solar/D/D/short,30.0,262.88518286192215,146659.20145985403,1.0257907756416156,0.43530743420859846,262.88518286192215,146659.20145985403,1.0257907756416156,0.43530743420859846,
solar/H,short,H,solar/H/H/short,48.0,13.519496140520953,757.0306297221155,1.0470255250008333,1.4454605077400242,13.519496140520953,757.0306297221155,1.0470255250008333,1.4454605077400242,
solar/H,medium,?,solar/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
solar/H,long,?,solar/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
solar/W,short,W-FRI,solar/W/W-FRI/short,8.0,1447.0461336678832,3091945.6496350365,1.590536726461213,0.27176802730952276,1447.0461336678832,3091945.6496350365,1.590536726461213,0.27176802730952276,
jena_weather/10T,short,10T,jena_weather/10T/10T/short,48.0,7.439203425816127,1139.5492039968096,0.34868341179382994,0.5776238085775722,7.439203425816127,1139.5492039968096,0.34868341179382994,0.5776238085775722,
jena_weather/10T,medium,?,jena_weather/10T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
jena_weather/10T,long,?,jena_weather/10T/?/long,,,,,,,,,,too many values to unpack (expected 3)
jena_weather/D,short,D,jena_weather/D/D/short,30.0,11.33144066220238,465.69459325396826,1.2860105037686658,0.4712488953247048,11.33144066220238,465.69459325396826,1.2860105037686658,0.4712488953247048,
jena_weather/H,short,H,jena_weather/H/H/short,48.0,10.203824482266866,1245.7661593253151,0.5967347937502135,0.6215218889325556,10.203824482266866,1245.7661593253151,0.5967347937502135,0.6215218889325556,
jena_weather/H,medium,?,jena_weather/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
jena_weather/H,long,?,jena_weather/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/D,short,D,kdd_cup_2018_with_missing/D/D/short,30.0,21.65055858024345,3001.534035985604,1.229682947473715,0.48472448062996326,21.65055858024345,3001.534035985604,1.229682947473715,0.48472448062996326,
kdd_cup_2018_with_missing/H,short,H,kdd_cup_2018_with_missing/H/H/short,48.0,22.524053571742,4567.523902664847,0.9382421693020411,0.4952106069341008,22.524053571742,4567.523902664847,0.9382421693020411,0.4952106069341008,
kdd_cup_2018_with_missing/H,medium,?,kdd_cup_2018_with_missing/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/H,long,?,kdd_cup_2018_with_missing/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
temperature_rain_with_missing,short,D,temperature_rain_with_missing/D/short,30.0,5.953260209712785,183.87636108094267,1.415233584031285,1.4972523450246429,5.953260209712785,183.87636108094267,1.415233584031285,1.4972523450246429,
saugeenday/D,short,D,saugeenday/D/D/short,30.0,13.034310709635417,1015.7966666666666,2.894924336366007,0.3626597110421585,13.034310709635417,1015.7966666666666,2.894924336366007,0.3626597110421585,
saugeenday/M,short,M,saugeenday/M/M/short,12.0,12.922850109281994,455.8608165922619,0.7569685805860049,0.379746889648806,12.922850109281994,455.8608165922619,0.7569685805860049,0.379746889648806,
saugeenday/W,short,W-THU,saugeenday/W/W-THU/short,8.0,17.6697998046875,1480.5494140625,1.433430397124535,0.4530155833665194,17.6697998046875,1480.5494140625,1.433430397124535,0.4530155833665194,
