dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,190.5912250352734,1743840.5241970012,0.8123130202453217,0.7676096933860083,190.5912250352734,1743840.5241970012,0.8123130202453217,0.7676096933860083
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,295.5386073981679,2596567.793846589,1.1229899775233125,0.8414664315033662,295.5386073981679,2596567.793846589,1.1229899775233125,0.8414664315033662
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,365.8408461233108,3219185.6100398614,1.0589385959396873,0.8643969990673955,365.8408461233108,3219185.6100398614,1.0589385959396873,0.8643969990673955
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,334.8774151866903,2631938.186385583,1.179915590561298,0.6056235275188251,334.8774151866903,2631938.186385583,1.179915590561298,0.6056235275188251
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,136.50162751041555,1620234.0316964819,1.7860059321675055,0.7029553932858831,136.50162751041555,1620234.0316964819,1.7860059321675055,0.7029553932858831
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,159.28054943998572,2249226.5338798147,4.528591350646045,0.7835265681861807,159.28054943998572,2249226.5338798147,4.528591350646045,0.7835265681861807
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,229.42548066628066,2895708.8266728357,3.5153171199562583,0.7624240951304773,229.42548066628066,2895708.8266728357,3.5153171199562583,0.7624240951304773
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,205.25326505891655,2079447.5089812605,5.892641438229433,0.6262335820886177,205.25326505891655,2079447.5089812605,5.892641438229433,0.6262335820886177
bizitobs_application,short,10S,bizitobs_application/10S/short,60,1395.0713888888888,6652472.32,4.032976132246502,0.05937990774842011,1395.0713888888888,6652472.32,4.032976132246502,0.05937990774842011
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,4207.003333333333,47616518.82666667,10.647791974985857,0.15607394820030548,4207.003333333333,47616518.82666667,10.647791974985857,0.15607394820030548
bizitobs_application,long,10S,bizitobs_application/10S/long,900,4780.879444444445,54084530.63111111,14.75135685340159,0.20889745311303057,4780.879444444445,54084530.63111111,14.75135685340159,0.20889745311303057
