dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,175.12093836922747,2019865.054222641,0.750342235660784,0.7804941621003408,175.12093836922747,2019865.054222641,0.750342235660784,0.7804941621003408
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,304.9811803968205,3425091.28978616,1.072811435858396,0.8178732059823247,304.9811803968205,3425091.28978616,1.072811435858396,0.8178732059823247
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,347.19296653761285,3608749.366074302,0.9535313981336545,0.8321326316687022,347.19296653761285,3608749.366074302,0.9535313981336545,0.8321326316687022
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,297.8428916158793,2439700.7309194235,1.1308875090212531,0.5949142925087014,297.8428916158793,2439700.7309194235,1.1308875090212531,0.5949142925087014
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,129.89476910501827,1781508.7097821585,1.7244333216687375,0.6768185667763106,129.89476910501827,1781508.7097821585,1.7244333216687375,0.6768185667763106
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,146.15308323266942,2266482.008577351,4.447121659286453,0.7258646115453309,146.15308323266942,2266482.008577351,4.447121659286453,0.7258646115453309
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,248.19419351854143,3760138.3131813183,3.4050183469682294,0.7178581157168894,248.19419351854143,3760138.3131813183,3.4050183469682294,0.7178581157168894
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,154.3284447067844,1810955.3126060916,5.86824423267838,0.5833217240380736,154.3284447067844,1810955.3126060916,5.86824423267838,0.5833217240380736
bizitobs_application,short,10S,bizitobs_application/10S/short,60,976.5725,4384419.84,2.8025198892908776,0.040879765666102796,976.5725,4384419.84,2.8025198892908776,0.040879765666102796
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,4304.64875,48234386.77333333,7.761226566855299,0.11965333339845785,4304.64875,48234386.77333333,7.761226566855299,0.11965333339845785
bizitobs_application,long,10S,bizitobs_application/10S/long,900,5430.334444444445,77712242.91555555,9.36160990886521,0.14725724540991314,5430.334444444445,77712242.91555555,9.36160990886521,0.14725724540991314
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.77369263058617,21.696854364304315,0.29099176602800003,0.21433184948904407,2.77369263058617,21.696854364304315,0.29099176602800003,0.21433184948904407
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,8.78931428039966,178.51960034013607,0.8581627589175651,0.9163869186316361,8.78931428039966,178.51960034013607,0.8581627589175651,0.9163869186316361
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,13.47509052579365,408.1023015873016,1.253076434452279,1.2093327453371177,13.47509052579365,408.1023015873016,1.253076434452279,1.2093327453371177
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,8.707176571800595,181.5393260168651,0.8412898839076852,0.8323481365955052,8.707176571800595,181.5393260168651,0.8412898839076852,0.8323481365955052
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,11.057285853794642,216.08497023809525,1.0797592027093221,0.9499774701162123,11.057285853794642,216.08497023809525,1.0797592027093221,0.9499774701162123
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,11.52705543154762,221.8220238095238,1.1629870792416417,0.903014562744706,11.52705543154762,221.8220238095238,1.1629870792416417,0.903014562744706
bizitobs_service,short,10S,bizitobs_service/10S/short,60,45.88437497416501,22282.498835565475,1.5801591337768623,0.09433926540388173,45.88437497416501,22282.498835565475,1.5801591337768623,0.09433926540388173
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,195.53839781746032,227299.33206349207,4.996581688083469,0.17726417595316818,195.53839781746032,227299.33206349207,4.996581688083469,0.17726417595316818
bizitobs_service,long,10S,bizitobs_service/10S/long,900,254.6722486772487,363950.40507936507,6.026927438157659,0.2064575098676315,254.6722486772487,363950.40507936507,6.026927438157659,0.2064575098676315
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.4738330589564052,1.309858008433231,0.858336927961201,1.865340447707924,0.4738330589564052,1.309858008433231,0.858336927961201,1.865340447707924
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.303502221992559,28.887463505064076,0.743611950335999,1.0578843619705642,2.303502221992559,28.887463505064076,0.743611950335999,1.0578843619705642
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,9.149545766539493,479.4562233100503,0.7455965102964165,0.4763482757467986,9.149545766539493,479.4562233100503,0.7455965102964165,0.4763482757467986
restaurant,short,D,restaurant/D/short,30,7.107246208671897,140.93189764873446,0.680394512049467,0.3926435351920768,7.107246208671897,140.93189764873446,0.680394512049467,0.3926435351920768
covid_deaths,short,D,covid_deaths/D/short,30,321.996525003916,3459270.031328321,49.94543161794372,0.4340312817194006,321.996525003916,3459270.031328321,49.94543161794372,0.4340312817194006
hospital,short,M,hospital/M/short,12,19.270137622738755,3275.9945472077356,0.781926829065239,0.17638376406407022,19.270137622738755,3275.9945472077356,0.781926829065239,0.17638376406407022
electricity/15T,short,15T,electricity/15T/15T/short,48,67.76426023053693,182821.2220061541,1.2659272566781048,0.20148845062629892,67.76426023053693,182821.2220061541,1.2659272566781048,0.20148845062629892
electricity/15T,medium,15T,electricity/15T/15T/medium,480,71.5870321825732,397220.82018026814,1.1302135697995133,0.17807726729444864,71.5870321825732,397220.82018026814,1.1302135697995133,0.17807726729444864
electricity/15T,long,15T,electricity/15T/15T/long,720,77.44417793086055,517840.405378179,1.174562519490519,0.1786724299389907,77.44417793086055,517840.405378179,1.174562519490519,0.1786724299389907
