dataset,term,config_name,prediction_length,MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,bitbrains_fast_storage/5T/5T/short,48,202.7531911767686,1998769.2739131183,0.8934358548115181,0.7894053513641338
bitbrains_fast_storage/5T,medium,bitbrains_fast_storage/5T/5T/medium,480,292.83759267258,80281950128.4534,1.1586058541768587,0.8256533035533723
bitbrains_fast_storage/5T,long,bitbrains_fast_storage/5T/5T/long,720,328.4644635021067,1355855560575398.2,1.060656072381134,0.840417374546739
bitbrains_fast_storage/H,short,bitbrains_fast_storage/H/H/short,48,330.20234293165856,3083395.4893088792,1.3226910685098305,0.6265131227839933
bitbrains_rnd/5T,short,bitbrains_rnd/5T/5T/short,48,150.233516183825,2203462.8284358033,2.0323173344514096,0.7308880077232208
bitbrains_rnd/5T,medium,bitbrains_rnd/5T/5T/medium,480,160.4529549405901,9433234094.97021,4.700138183288162,0.7652020333839912
bitbrains_rnd/5T,long,bitbrains_rnd/5T/5T/long,720,190.3454709766718,921737299815.711,3.652727499875416,0.7470261677074622
bitbrains_rnd/H,short,bitbrains_rnd/H/H/short,48,161.40091898000168,2355032.1179384138,6.2915076250968,0.6557910721308434
bizitobs_application,short,bizitobs_application/10S/short,60,1678.7475,14185084.017777778,5.458311354164298,0.07752751668294271
bizitobs_application,medium,bizitobs_application/10S/medium,600,2574.7658333333334,26563058.346666668,7.639857256038105,0.10725926717122396
bizitobs_application,long,bizitobs_application/10S/long,900,2651.6188888888887,24821384.533333335,7.794728855526258,0.10902203030056423
bizitobs_l2c/5T,short,bizitobs_l2c/5T/5T/short,48,3.1217979431152343,24.117098272414434,0.320670814791288,0.22258830070495605
bizitobs_l2c/5T,medium,bizitobs_l2c/5T/5T/medium,480,10.662754437712586,193.30127551020408,1.0147155063840718,0.9632297645620749
bizitobs_l2c/5T,long,bizitobs_l2c/5T/5T/long,720,12.958642113095237,296.4350198412698,1.2274493011007979,1.1372920541914682
bizitobs_l2c/H,short,bizitobs_l2c/H/H/short,48,9.430957612537203,184.24445064484127,0.9220707829698315,0.8548398093571739
bizitobs_l2c/H,medium,bizitobs_l2c/H/H/medium,480,10.341981724330358,193.64840029761905,1.037856388549486,1.0161544799804687
bizitobs_l2c/H,long,bizitobs_l2c/H/H/long,720,10.60046890500992,207.26210317460317,1.0676545503406532,0.9571983700706845
bizitobs_service,short,bizitobs_service/10S/short,60,76.48788592303241,48966.097919973545,3.015423229643317,0.1302544693719773
bizitobs_service,medium,bizitobs_service/10S/medium,600,130.96442956349208,153966.91047619047,4.176168870246524,0.1649195038326203
bizitobs_service,long,bizitobs_service/10S/long,900,140.22238095238095,215451.713015873,4.044293736232566,0.16795083343667327
car_parts_with_missing,short,car_parts_with_missing/M/short,12,0.5033694958170525,1288.555515603017,0.8913987472862216,1.8615586509010271
hierarchical_sales/D,short,hierarchical_sales/D/D/short,30,2.311714511097044,29.82810982069037,0.7515981385614435,1.0541215408533355
hierarchical_sales/W,short,hierarchical_sales/W/W-WED/short,8,9.345433768579515,1498.5647138175318,0.7781756130010994,0.48095139002395887
restaurant,short,restaurant/D/short,30,8.91451678352217,201.4020843548613,0.8321675207605755,0.46631228766811433
covid_deaths,short,covid_deaths/D/short,30,282.78178943452383,2387345.0165413534,48.97991264105165,0.43337977894565516
hospital,short,hospital/M/short,12,22.285049723625598,4375.34691438505,0.8400143734568037,0.1897391079302095
electricity/15T,short,electricity/15T/15T/short,48,121.480767294394,530214.5760300535,2.226846592102432,0.3037668192993314
electricity/15T,medium,electricity/15T/15T/medium,480,165.53586610536317,2067904.0066368948,2.394996739592707,0.31680579008497634
electricity/15T,long,electricity/15T/15T/long,720,196.78004992492492,16300053113.834246,2.581215921215386,0.3225702011405117
electricity/D,short,electricity/D/D/short,30,7040.52202027027,5340319580.16,1.9120587638033908,0.137625219946509
electricity/H,short,electricity/H/H/short,48,248.42986765818554,2320019.852800183,1.3906188609109704,0.17699151863922943
electricity/H,medium,electricity/H/H/medium,480,336.9079841462556,9993532.161241554,1.4546254230320421,0.1773407880250398
electricity/H,long,electricity/H/H/long,720,363.0188633633634,12927400.708936937,1.5393127826360211,0.18662983644044434
electricity/W,short,electricity/W/W-FRI/short,8,47525.131447072075,211607231290.11893,2.0948481059304904,0.12662785418398745
ett1/15T,short,ett1/15T/15T/short,48,2.0909361385163807,13.760533959524972,1.4902265394980818,0.4252629319826762
ett1/15T,medium,ett1/15T/15T/medium,480,2.6458099268353172,22.62707744295635,1.6173044135638053,0.5637075660342262
ett1/15T,long,ett1/15T/15T/long,720,2.5895393686445933,22.129131866939485,1.6225608545624377,0.5748048921615359
ett1/D,short,ett1/D/D/short,30,129.06949404761906,39308.48253968254,1.5537478004182803,0.45764881921192957
ett1/H,short,ett1/H/H/short,48,5.862837182907831,121.80772356305803,0.9972305330286299,0.30687880288986935
