dataset,term,frequency,config_name,error
bitbrains_fast_storage/5T,short,?,bitbrains_fast_storage/5T/?/short,too many values to unpack (expected 3)
bitbrains_fast_storage/5T,medium,?,bitbrains_fast_storage/5T/?/medium,too many values to unpack (expected 3)
bitbrains_fast_storage/5T,long,?,bitbrains_fast_storage/5T/?/long,too many values to unpack (expected 3)
bitbrains_fast_storage/H,short,?,bitbrains_fast_storage/H/?/short,too many values to unpack (expected 3)
bitbrains_rnd/5T,short,?,bitbrains_rnd/5T/?/short,too many values to unpack (expected 3)
bitbrains_rnd/5T,medium,?,bitbrains_rnd/5T/?/medium,too many values to unpack (expected 3)
bitbrains_rnd/5T,long,?,bitbrains_rnd/5T/?/long,too many values to unpack (expected 3)
bitbrains_rnd/H,short,?,bitbrains_rnd/H/?/short,too many values to unpack (expected 3)
bizitobs_application,short,?,bizitobs_application/?/short,too many values to unpack (expected 3)
bizitobs_application,medium,?,bizitobs_application/?/medium,too many values to unpack (expected 3)
bizitobs_application,long,?,bizitobs_application/?/long,"not enough values to unpack (expected 3, got 2)"
bizitobs_l2c/5T,short,?,bizitobs_l2c/5T/?/short,too many values to unpack (expected 3)
bizitobs_l2c/5T,medium,?,bizitobs_l2c/5T/?/medium,too many values to unpack (expected 3)
bizitobs_l2c/5T,long,?,bizitobs_l2c/5T/?/long,too many values to unpack (expected 3)
bizitobs_l2c/H,short,?,bizitobs_l2c/H/?/short,too many values to unpack (expected 3)
bizitobs_l2c/H,medium,?,bizitobs_l2c/H/?/medium,too many values to unpack (expected 3)
bizitobs_l2c/H,long,?,bizitobs_l2c/H/?/long,too many values to unpack (expected 3)
bizitobs_service,short,?,bizitobs_service/?/short,too many values to unpack (expected 3)
bizitobs_service,medium,?,bizitobs_service/?/medium,too many values to unpack (expected 3)
bizitobs_service,long,?,bizitobs_service/?/long,too many values to unpack (expected 3)
car_parts_with_missing,short,?,car_parts_with_missing/?/short,too many values to unpack (expected 3)
hierarchical_sales/D,short,?,hierarchical_sales/D/?/short,too many values to unpack (expected 3)
hierarchical_sales/W,short,?,hierarchical_sales/W/?/short,too many values to unpack (expected 3)
restaurant,short,?,restaurant/?/short,too many values to unpack (expected 3)
covid_deaths,short,?,covid_deaths/?/short,too many values to unpack (expected 3)
hospital,short,?,hospital/?/short,too many values to unpack (expected 3)
electricity/15T,short,?,electricity/15T/?/short,too many values to unpack (expected 3)
electricity/15T,medium,?,electricity/15T/?/medium,too many values to unpack (expected 3)
electricity/15T,long,?,electricity/15T/?/long,too many values to unpack (expected 3)
electricity/D,short,?,electricity/D/?/short,too many values to unpack (expected 3)
electricity/H,short,?,electricity/H/?/short,too many values to unpack (expected 3)
electricity/H,medium,?,electricity/H/?/medium,too many values to unpack (expected 3)
electricity/H,long,?,electricity/H/?/long,too many values to unpack (expected 3)
electricity/W,short,?,electricity/W/?/short,too many values to unpack (expected 3)
ett1/15T,short,?,ett1/15T/?/short,too many values to unpack (expected 3)
ett1/15T,medium,?,ett1/15T/?/medium,too many values to unpack (expected 3)
ett1/15T,long,?,ett1/15T/?/long,too many values to unpack (expected 3)
ett1/D,short,?,ett1/D/?/short,too many values to unpack (expected 3)
ett1/H,short,?,ett1/H/?/short,too many values to unpack (expected 3)
ett1/H,medium,?,ett1/H/?/medium,too many values to unpack (expected 3)
ett1/H,long,?,ett1/H/?/long,too many values to unpack (expected 3)
ett1/W,short,?,ett1/W/?/short,too many values to unpack (expected 3)
ett2/15T,short,?,ett2/15T/?/short,too many values to unpack (expected 3)
ett2/15T,medium,?,ett2/15T/?/medium,too many values to unpack (expected 3)
ett2/15T,long,?,ett2/15T/?/long,too many values to unpack (expected 3)
ett2/D,short,?,ett2/D/?/short,too many values to unpack (expected 3)
ett2/H,short,?,ett2/H/?/short,too many values to unpack (expected 3)
ett2/H,medium,?,ett2/H/?/medium,too many values to unpack (expected 3)
ett2/H,long,?,ett2/H/?/long,too many values to unpack (expected 3)
ett2/W,short,?,ett2/W/?/short,too many values to unpack (expected 3)
solar/10T,short,?,solar/10T/?/short,too many values to unpack (expected 3)
solar/10T,medium,?,solar/10T/?/medium,too many values to unpack (expected 3)
solar/10T,long,?,solar/10T/?/long,too many values to unpack (expected 3)
solar/D,short,?,solar/D/?/short,too many values to unpack (expected 3)
solar/H,short,?,solar/H/?/short,too many values to unpack (expected 3)
solar/H,medium,?,solar/H/?/medium,too many values to unpack (expected 3)
solar/H,long,?,solar/H/?/long,too many values to unpack (expected 3)
solar/W,short,?,solar/W/?/short,too many values to unpack (expected 3)
jena_weather/10T,short,?,jena_weather/10T/?/short,too many values to unpack (expected 3)
jena_weather/10T,medium,?,jena_weather/10T/?/medium,too many values to unpack (expected 3)
