dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,182.71023994401938,206109058.79411408,0.8215519805613627,0.7576454943285229,182.71023994401938,206109058.79411408,0.8215519805613627,0.7576454943285229
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,278.56553268223087,40829468.54029709,1.0799076191607688,0.814994555176965,278.56553268223087,40829468.54029709,1.0799076191607688,0.814994555176965
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,345.468464116279,214006034.84171268,0.9905046455959666,0.8306831833063287,345.468464116279,214006034.84171268,0.9905046455959666,0.8306831833063287
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,274.61985736408906,4933858.963990566,1.2350812989810263,0.5976421702540173,274.61985736408906,4933858.963990566,1.2350812989810263,0.5976421702540173
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,141.15773282292966,73407212.79830919,1.9162329229189805,0.6782374036753805,141.15773282292966,73407212.79830919,1.9162329229189805,0.6782374036753805
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,163.84284670648486,4036993.9625096787,4.646935171745579,0.7139652187077887,163.84284670648486,4036993.9625096787,4.646935171745579,0.7139652187077887
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,193.59993136121284,65308175.15525687,3.5657724133096473,0.7027231048628939,193.59993136121284,65308175.15525687,3.5657724133096473,0.7027231048628939
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,138.06183171954171,1697493.0421695304,6.241664385376742,0.5848881335449739,138.06183171954171,1697493.0421695304,6.241664385376742,0.5848881335449739
bizitobs_application,short,10S,bizitobs_application/10S/short,60,1906.63375,19930835.626666665,4.799084116872007,0.07190056694878472,1906.63375,19930835.626666665,4.799084116872007,0.07190056694878472
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,3526.085,44875260.586666666,8.886413332766567,0.12940868377685547,3526.085,44875260.586666666,8.886413332766567,0.12940868377685547
bizitobs_application,long,10S,bizitobs_application/10S/long,900,3637.5716666666667,43686648.03555556,9.517670251487463,0.13783437093098957,3637.5716666666667,43686648.03555556,9.517670251487463,0.13783437093098957
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.8210767836797803,21.44958990187872,0.2910570835494135,0.2140904636610122,2.8210767836797803,21.44958990187872,0.2910570835494135,0.2140904636610122
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,9.292471168154762,195.27833758503402,0.9022080678834695,0.8896013532366072,9.292471168154762,195.27833758503402,0.9022080678834695,0.8896013532366072
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,13.123592509920634,367.9477777777778,1.2501819575382547,1.1991269066220238,13.123592509920634,367.9477777777778,1.2501819575382547,1.1991269066220238
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,9.236869690910218,173.13572668650792,0.9156590595513358,0.8754907032800099,9.236869690910218,173.13572668650792,0.9156590595513358,0.8754907032800099
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,9.425935872395833,188.1546875,0.9374368485065887,0.9358895438058036,9.425935872395833,188.1546875,0.9374368485065887,0.9358895438058036
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,9.40409691220238,182.68948412698413,0.9732627218216526,0.8627170138888889,9.40409691220238,182.68948412698413,0.9732627218216526,0.8627170138888889
bizitobs_service,short,10S,bizitobs_service/10S/short,60,93.40931862805886,97054.8796916336,3.2959301372126655,0.1178039780874101,93.40931862805886,97054.8796916336,3.2959301372126655,0.1178039780874101
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,166.14538194444444,203683.3777777778,5.2313106066244766,0.17486188373868428,166.14538194444444,203683.3777777778,5.2313106066244766,0.17486188373868428
bizitobs_service,long,10S,bizitobs_service/10S/long,900,179.74818783068784,277627.3134391534,4.970999728317819,0.17515683128720239,179.74818783068784,277627.3134391534,4.970999728317819,0.17515683128720239
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.46518190122147995,23859.380709253208,0.8374335195834023,1.8917109157189618,0.46518190122147995,23859.380709253208,0.8374335195834023,1.8917109157189618
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.321737053986668,29.11778821310459,0.7515028463888975,1.0654866704668768,2.321737053986668,29.11778821310459,0.7515028463888975,1.0654866704668768
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,9.27289490780588,703.6211434057203,0.7582678633647693,0.4735938209598347,9.27289490780588,703.6211434057203,0.7582678633647693,0.4735938209598347
restaurant,short,D,restaurant/D/short,30,7.6915303382862845,158.50981031684879,0.7344606311057323,0.4179102301853672,7.6915303382862845,158.50981031684879,0.7344606311057323,0.4179102301853672
covid_deaths,short,D,covid_deaths/D/short,30,121.55650233983395,508100.1304511278,34.18855739531296,0.3683988356052485,121.55650233983395,508100.1304511278,34.18855739531296,0.3683988356052485
hospital,short,M,hospital/M/short,12,20.10954348992286,4094.9216746794873,0.8033809275001226,0.18134936515479852,20.10954348992286,4094.9216746794873,0.8033809275001226,0.18134936515479852
