dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,173.28378415639267,2163659.6664874568,0.6867213500371281,0.7419015173036263,173.28378415639267,2163659.6664874568,0.6867213500371281,0.7419015173036263
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,258.94643234332625,3837910.994594664,0.9918569881933358,0.806850665789377,258.94643234332625,3837910.994594664,0.9918569881933358,0.806850665789377
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,304.6262347052746,4258855.093359625,0.8908309367365252,0.8191258855317525,304.6262347052746,4258855.093359625,0.8908309367365252,0.8191258855317525
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,289.53486105716865,2875424.6700939946,1.0667113968045794,0.5812518399122604,289.53486105716865,2875424.6700939946,1.0667113968045794,0.5812518399122604
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,115.48191090129467,1652055.7589194311,1.6499275697349334,0.6545982962102972,115.48191090129467,1652055.7589194311,1.6499275697349334,0.6545982962102972
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,146.50420865620075,2303001.7154220412,4.386141502514514,0.711959310300691,146.50420865620075,2303001.7154220412,4.386141502514514,0.711959310300691
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,152.23965134904046,2288147.825442465,3.3276463430893637,0.6928292621799051,152.23965134904046,2288147.825442465,3.3276463430893637,0.6928292621799051
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,204.55437921405596,2341184.0198030244,5.855996639405583,0.5618700555188213,204.55437921405596,2341184.0198030244,5.855996639405583,0.5618700555188213
bizitobs_application,short,10S,bizitobs_application/10S/short,60,406.2403125,621851.5911111111,1.4386246671458285,0.020211493185816647,406.2403125,621851.5911111111,1.4386246671458285,0.020211493185816647
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,1043.5817708333334,3613374.2933333335,2.478975442899435,0.03616991174479212,1043.5817708333334,3613374.2933333335,2.478975442899435,0.03616991174479212
bizitobs_application,long,10S,bizitobs_application/10S/long,900,1533.4086111111112,6483073.137777777,3.4278932978200416,0.05103800600918401,1533.4086111111112,6483073.137777777,3.4278932978200416,0.05103800600918401
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.8636638823009672,20.624032156808035,0.2905579020419824,0.20925604921543295,2.8636638823009672,20.624032156808035,0.2905579020419824,0.20925604921543295
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,5.343154429740646,77.68476828231293,0.536013623647773,0.6504175638309987,5.343154429740646,77.68476828231293,0.536013623647773,0.6504175638309987
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,5.707359871031746,85.39196428571428,0.579922302210701,0.7719799987867012,5.707359871031746,85.39196428571428,0.579922302210701,0.7719799987867012
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,5.0189325241815474,68.00628565228175,0.5036187592485935,0.6403860829366954,5.0189325241815474,68.00628565228175,0.5036187592485935,0.6403860829366954
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,5.0461042131696425,72.9544456845238,0.5079873017255702,0.7993536903485817,5.0461042131696425,72.9544456845238,0.5079873017255702,0.7993536903485817
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,5.7959627666170634,101.14908234126985,0.6147491239975069,0.8084178442644271,5.7959627666170634,101.14908234126985,0.6147491239975069,0.8084178442644271
bizitobs_service,short,10S,bizitobs_service/10S/short,60,22.429918619791668,4797.990093419312,0.8738541232855649,0.05649945345434558,22.429918619791668,4797.990093419312,0.8738541232855649,0.05649945345434558
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,49.912523871527775,56963.74373015873,1.1319839246837926,0.08129118141699528,49.912523871527775,56963.74373015873,1.1319839246837926,0.08129118141699528
bizitobs_service,long,10S,bizitobs_service/10S/long,900,76.06693121693122,128119.7782010582,1.371226379262386,0.0928456876677085,76.06693121693122,128119.7782010582,1.371226379262386,0.0928456876677085
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.4510972586320472,1.3507721850133059,0.8327698910102884,1.900241944859481,0.4510972586320472,1.3507721850133059,0.8327698910102884,1.900241944859481
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.312164511016303,29.494764914479124,0.7468443522390411,1.0775600782418115,2.312164511016303,29.494764914479124,0.7468443522390411,1.0775600782418115
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,9.068893497273073,484.34518484341896,0.7256711746811195,0.4625132406607187,9.068893497273073,484.34518484341896,0.7256711746811195,0.4625132406607187
restaurant,short,D,restaurant/D/short,30,7.109044143507168,140.27288806388344,0.6809079400321059,0.3930804011624538,7.109044143507168,140.27288806388344,0.6809079400321059,0.3930804011624538
covid_deaths,short,D,covid_deaths/D/short,30,94.09949067003446,267511.31613408524,38.20723564399441,0.38231484502311247,94.09949067003446,267511.31613408524,38.20723564399441,0.38231484502311247
hospital,short,M,hospital/M/short,12,18.46231205097648,2979.3941458876575,0.771936683069644,0.17729010706949425,18.46231205097648,2979.3941458876575,0.771936683069644,0.17729010706949425
electricity/15T,short,15T,electricity/15T/15T/short,48,46.910743305103196,126713.4020526508,0.8698200874181091,0.15161579334007164,46.910743305103196,126713.4020526508,0.8698200874181091,0.15161579334007164
electricity/15T,medium,15T,electricity/15T/15T/medium,480,55.66805561237507,283337.9524701753,0.8413034665876569,0.1305605881994334,55.66805561237507,283337.9524701753,0.8413034665876569,0.1305605881994334
electricity/15T,long,15T,electricity/15T/15T/long,720,63.17244719377581,391375.30814807385,0.9070766055843593,0.13407431050436874,63.17244719377581,391375.30814807385,0.9070766055843593,0.13407431050436874
electricity/D,short,D,electricity/D/D/short,30,4021.2945563063063,1149984413.072144,1.383802317305689,0.0947223895672864,4021.2945563063063,1149984413.072144,1.383802317305689,0.0947223895672864
electricity/H,short,H,electricity/H/H/short,48,166.17814021205044,1653467.3333895516,0.8868864421059302,0.12253968517812264,166.17814021205044,1653467.3333895516,0.8868864421059302,0.12253968517812264
electricity/H,medium,H,electricity/H/H/medium,480,248.11866105363177,6361896.67647241,1.0842545522564524,0.1318340363188459,248.11866105363177,6361896.67647241,1.0842545522564524,0.1318340363188459
electricity/H,long,H,electricity/H/H/long,720,291.53754091591594,9811664.715651652,1.262160014025062,0.14740984499667456,291.53754091591594,9811664.715651652,1.262160014025062,0.14740984499667456
electricity/W,short,W-FRI,electricity/W/W-FRI/short,8,30367.90002815315,52769267656.87928,1.5729509772032129,0.10134963819834664,30367.90002815315,52769267656.87928,1.5729509772032129,0.10134963819834664
ett1/15T,short,15T,ett1/15T/15T/short,48,1.079026749020531,5.021040198916481,0.6870396822751521,0.23421152056781774,1.079026749020531,5.021040198916481,0.6870396822751521,0.23421152056781774
ett1/15T,medium,15T,ett1/15T/15T/medium,480,1.6653507874503968,10.665780474950397,1.0389812335889388,0.3889414594269495,1.6653507874503968,10.665780474950397,1.0389812335889388,0.3889414594269495
ett1/15T,long,15T,ett1/15T/15T/long,720,1.6781691778273808,10.191860196552579,1.0669133895013785,0.39000192420448737,1.6781691778273808,10.191860196552579,1.0669133895013785,0.39000192420448737
ett1/D,short,D,ett1/D/D/short,30,145.07079613095237,46241.10476190476,1.7932823833348608,0.49850952035054064,145.07079613095237,46241.10476190476,1.7932823833348608,0.49850952035054064
ett1/H,short,H,ett1/H/H/short,48,5.06581540788923,110.48772263299851,0.8362465695705823,0.26025930054545243,5.06581540788923,110.48772263299851,0.8362465695705823,0.26025930054545243
ett1/H,medium,H,ett1/H/H/medium,480,7.205398995535714,167.32998511904762,1.3042583171553117,0.42891782190313793,7.205398995535714,167.32998511904762,1.3042583171553117,0.42891782190313793
ett1/H,long,H,ett1/H/H/long,720,7.873346560846561,203.1143187830688,1.4649948736170155,0.4737865139599615,7.873346560846561,203.1143187830688,1.4649948736170155,0.4737865139599615
ett1/W,short,W-THU,ett1/W/W-THU/short,8,928.3599330357143,1459850.5714285714,1.591048177581214,0.5521207183529959,928.3599330357143,1459850.5714285714,1.591048177581214,0.5521207183529959
ett2/15T,short,15T,ett2/15T/15T/short,48,1.754954365321568,8.050238473074776,0.7664317297207159,0.1304120467990063,1.754954365321568,8.050238473074776,0.7664317297207159,0.1304120467990063
