dataset,term,prediction_length,raw_MASE,A2_d2_MASE,A2_d3_MASE,A2_d4_MASE,A2_d5_MASE,A2_d6_MASE,A2_d7_MASE,A2_d8_MASE,A2_uniform_MASE,A2_invvar_MASE,A2_qpool_MASE
bitbrains_fast_storage/5T,short,48,,,,,,,,,,,
bitbrains_fast_storage/5T,medium,480,,,,,,,,,,,
bitbrains_fast_storage/5T,long,720,,,,,,,,,,,
bitbrains_fast_storage/H,short,48,,,,,,,,,,,
bitbrains_rnd/5T,short,48,,,,,,,,,,,
bitbrains_rnd/5T,medium,480,,,,,,,,,,,
bitbrains_rnd/5T,long,720,,,,,,,,,,,
bitbrains_rnd/H,short,48,,,,,,,,,,,
bizitobs_application,short,60,3.010038838131031,24.750164000510257,37.38832734430047,43.78556627487127,46.93110375859059,48.467186115349755,49.224285656981394,49.68732939477387,37.423722189759154,28.065587752961147,45.28710897119625
bizitobs_application,medium,600,9.263767601261673,40.891685438019124,59.61538715357044,68.9281333392988,73.44382550171025,75.61186948289254,76.69642723792938,77.33794682203113,59.48430735997965,45.56415820714349,71.09850296797867
bizitobs_application,long,900,9.318463860386343,41.7625351818353,61.457551019360686,71.37712608456746,76.5398428233411,79.19727432475531,80.7740341515595,81.51141795068824,61.88067561322922,47.588659804853094,73.90115218102224
bizitobs_l2c/5T,short,48,0.35202131985427276,1.525638549561044,2.2496020805712065,2.612025759035788,2.792277376984361,2.87993658982782,2.9238428473839293,2.9466294111888844,2.247681643419307,1.7697606454105845,2.697361120406929
bizitobs_l2c/5T,medium,480,1.3505589860096898,1.6769742388402629,1.9594296639476048,2.1123377823376077,2.178906896525847,2.19378286818759,2.1764046356568945,2.141218599346852,1.920327363055091,1.742940199721311,2.0778471436468533
bizitobs_l2c/5T,long,720,1.8289933331931472,1.862391806901408,1.974461699107075,2.044196823568974,2.0839089286887615,2.096682552254159,2.1035634218726273,2.1016845125089882,1.9620650401587163,1.8988729552362762,2.0398072949744117
bizitobs_l2c/H,short,48,0.9694754740478309,1.389141981210835,1.6901033022064764,1.8245683243312165,1.8783270838720234,1.8754684876865506,1.858187016738749,1.8375042960516765,1.622349916117303,1.393605465434745,1.7719517495404882
bizitobs_l2c/H,medium,480,1.1129987985935355,1.4949967365317771,1.8051525992260231,1.9343059069262214,1.9293794992073552,1.8775861074409375,1.8136653901924191,1.757409634461812,1.6607145023344556,1.4521960076618599,1.7561259604762987
bizitobs_l2c/H,long,720,1.1721241097102282,1.6092756860494808,1.9762716293131963,2.1994073388615463,2.3284835616607067,2.361746130409,2.3648873446583165,2.174056821846943,1.9622578412304035,1.6078474851924973,2.117550156981571
bizitobs_service,short,60,2.347740179998678,80.04908276866495,119.8362686993198,139.82990636535456,149.8437335348733,154.83837467875594,157.35770982846665,158.72337421631875,120.00241185088477,22.824063798336187,144.79101146180042
bizitobs_service,medium,600,4.40141062376194,81.51889291291656,121.4812808621236,141.4024067248299,151.3664134213357,156.33592049862833,158.8455626973855,160.46754077084714,121.45497878781576,23.70181601312534,146.18706681162718
bizitobs_service,long,900,4.6347122407447365,81.08591135295543,120.6997979827898,140.51781629473098,150.43796316611989,155.34340128363087,157.8179133937293,158.8456617129969,120.68877806821816,29.739020785461268,145.2791951245526
car_parts_with_missing,short,12,,,,,,,,,,,
hierarchical_sales/D,short,30,,,,,,,,,,,
hierarchical_sales/W,short,8,0.772111597593651,1.1110487056793326,1.4590778142979675,1.6244840843560377,1.6746668572455463,1.6886807377797235,1.69970659212603,1.7135912176241934,1.4012671114948558,1.0256539846873496,1.5448755751655623
restaurant,short,30,,,,,,,,,,,
covid_deaths,short,30,31.7886446002892,98.850122031217,134.63702968803963,153.2701422107715,162.66970713307288,167.99827514582327,170.54528041339353,171.7862655373161,135.8480588044891,110.82594015507266,157.3908867989514
hospital,short,12,0.8146445123125134,3.0333626263683504,4.533927163350022,5.301755494846718,5.749448659313772,5.975145805461246,6.070332360639753,6.170749773389264,4.606557869119397,2.8408556279779598,5.444965529206381
electricity/15T,short,48,1.5950895437889694,4.453395538351431,6.492838345261124,7.501954706284789,7.996441756267134,8.211554600171581,8.309746668514046,8.400429445386644,6.448462128252714,4.659144900771988,7.597328632049022
electricity/15T,medium,480,1.7326322182656853,5.8757746049327135,8.54231236798404,9.858144883701511,10.536435689557583,10.92805635198773,11.158685942969864,11.381380369807424,8.461739747788089,6.242212273420036,9.854698707579995
electricity/15T,long,720,2.072595766681363,6.084301478090543,8.897323617281824,10.28016363134986,10.94335643521089,11.275950825186104,11.442209209536536,11.560430376058074,8.744560457082153,6.1887208012458474,10.24273147702634
electricity/D,short,30,2.220579889930226,13.14167610945761,19.61302165062388,22.863516260385598,24.496770233824154,25.30883386688228,25.737948048458037,25.99765660476048,19.657242069633103,13.678318243609672,23.60880996856066
electricity/H,short,48,1.3430713130574834,6.862308476165866,10.095347568623755,11.737807039507958,12.59772785119076,13.018605052430384,13.244176551809018,13.361507804965573,10.145905499256454,6.223276091751893,11.979615474320982
electricity/H,medium,480,1.433159710447412,7.062644674202449,10.48429656804855,12.178242693866713,13.006021400534259,13.393980680055973,13.52028553939869,13.450244631563347,10.40003844545686,6.200622969886786,12.31478508682489
electricity/H,long,720,1.5513779387232225,7.04726110772824,10.511870122173757,12.227582487488268,13.055518040640646,13.435149505421691,13.544844004246567,13.456688533734255,10.408998359651969,6.172631126919325,12.340932055313534
electricity/W,short,8,262.001781733544,273.41488154018674,280.41591945327616,283.9167006231764,285.6419765001086,286.4594563268119,286.8391464376052,286.97243184190256,280.3520724359822,273.70533409336997,284.67253629084826
ett1/15T,short,48,1.687019366938163,3.054156559947726,4.249892432178505,4.936544578384222,5.340857481138778,5.532579563407083,5.612584258189585,5.62348187892197,4.3649079682821,3.3180465269646198,5.065382670002228
ett1/15T,medium,480,1.5502782575725373,2.789641338569393,3.6233266917161706,4.090700888963446,4.372314318164195,4.53578419836734,4.635185859202212,4.626904172003622,3.6998241923033475,2.9461278573311724,4.1392539089072855
ett1/15T,long,720,1.460726437446508,2.621662035293416,3.5035188266465545,3.9924572227296706,4.271343536039751,4.40583181814959,4.498025628093186,4.491335748461142,3.554032044832736,2.804597710961374,4.019615663535066
ett1/D,short,30,1.7106038848495206,3.1812626428520527,4.2520725366109655,4.869821618466059,5.282124070119036,5.565203968708927,5.681015440380416,5.799432095652362,4.40675656758054,3.3460893981751254,4.994595383432013
ett1/H,short,48,0.9254836175663359,2.6906718354100163,3.848895523364989,4.433771367687202,4.732167354283543,4.871319132045774,4.931776046549877,4.947413904113844,3.8375640161655284,2.693634550407592,4.470922215915878
ett1/H,medium,480,1.3961538792606827,2.6405450687091934,3.5649903539816514,4.043082280785997,4.276833329397136,4.3753527812292115,4.415350923678415,4.426478817362829,3.529464977361066,2.745557920641905,4.0251659980755425
ett1/H,long,720,1.508014440341857,2.8035165981862984,3.689712587455431,4.129852085889428,4.3353346324972195,4.424048798914506,4.456445636512996,4.45830497143262,3.6270775918153144,2.9285300228408464,4.076866024257933
ett1/W,short,8,1.6033950319031154,2.9576365576912855,3.8762464646853365,4.293449652608433,4.506110231434515,4.554772081615101,4.656724175023717,4.834047209588933,3.8198460637287255,2.9156377303492684,4.2633887469485545
ett2/15T,short,48,1.0889799233458783,4.457824018571675,6.508326728112736,7.556212835249393,8.072604367812119,8.308951856301759,8.420992333211537,8.53990619155961,6.520819496225258,4.701541546938405,7.779360686974859
ett2/15T,medium,480,1.1737590193630176,4.440954378997761,6.51106262329992,7.585255654206313,8.14146754230282,8.402938135945266,8.524095600601715,8.586418045941151,6.544653869325256,4.447183738023841,7.770385167153488
ett2/15T,long,720,1.255100530408817,4.6394296552343395,6.726876741545079,7.793848242379272,8.346000568825977,8.600532357313709,8.715278979071973,8.750160292686997,6.735941255051172,4.493052698259028,7.972075086346058
ett2/D,short,30,1.3560432678929109,5.794754653248526,8.787625311873413,10.376045503156517,11.270034654286823,11.743633971580287,12.028523344352376,12.095747254869485,8.976770786398939,5.7973541031302664,10.777586093497959
ett2/H,short,48,1.0228489300228933,5.562143041582423,8.195676773403338,9.501511726303127,10.134363283692297,10.411075490991259,10.511461786261192,10.606686615121522,8.145606643470845,5.344611543989252,9.751411004580309
ett2/H,medium,480,1.2726109226471691,4.876942038277359,7.100047742899827,8.210554101081232,8.761333577934504,8.970227249162768,9.001502618252141,8.986290936241856,7.029078934489255,4.8743368822912005,8.36436525975152
ett2/H,long,720,1.374404759176523,4.835492210317824,7.003514559119988,8.080759326133402,8.60805866447205,8.786899392397098,8.803235709671359,8.802439499451024,6.906852986234865,4.897127649651599,8.213291629300635
ett2/W,short,8,0.8751144146132993,3.334788484346178,4.7837470120831,5.390080418713583,5.605710653934341,5.70174935927107,5.756145556202017,5.966177653005907,4.619712290390607,2.8471101921271265,5.286759882528393
solar/10T,short,48,1.1776580354159387,1.239146423523359,1.3130365148154037,1.3507496191579411,1.363181940142521,1.3691864977826413,1.3631788620945564,1.3609600551345986,1.2905096851578228,1.2331678807042161,1.3187067101303436
solar/10T,medium,480,3.1554224575758756,3.950312363346207,4.378322701768007,4.562890253394644,4.626567956465466,4.6684973344859895,4.696372951131825,4.700578272114883,4.3309935560813875,3.9492190076574416,4.478577293444794
