dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
loop_seattle/5T/short,hd10_official_s0_100k,0.5600498993882489,3.5238026527428405,43.94437841645704,0.047901325244786686
loop_seattle/5T/medium,hd10_official_s0_100k,0.7616667359166581,4.735970616453819,68.6018685500516,0.07032945838867971
loop_seattle/5T/long,hd10_official_s0_100k,0.8193077755272772,5.1009782152992775,79.61064370485036,0.07678437271884024
loop_seattle/D/short,hd10_official_s0_100k,0.9029227430661357,2.9883617735745616,19.351680211558307,0.04442528328318903
loop_seattle/H/short,hd10_official_s0_100k,1.0347709520255275,5.07765918218049,76.8916786330183,0.07273495654128966
loop_seattle/H/medium,hd10_official_s0_100k,1.3126815048286626,6.41229420633385,101.54321304179567,0.09172230582250168
loop_seattle/H/long,hd10_official_s0_100k,1.2613045376059844,6.02687075378397,93.27724243206055,0.08706498998384309
m_dense/D/short,hd10_official_s0_100k,0.7570246448780427,50.40127314814815,9346.303703703703,0.07215366345480764
m_dense/H/short,hd10_official_s0_100k,0.7864053137044179,88.21036675347223,44144.166666666664,0.13107668068995929
m_dense/H/medium,hd10_official_s0_100k,0.7070482663359379,80.25953125,34554.31555555556,0.11561088733044861
m_dense/H/long,hd10_official_s0_100k,0.7124770691996339,81.73449845679012,33618.804938271605,0.11681156986506992
sz_taxi/15T/short,hd10_official_s0_100k,0.5664703577693441,2.8415779234871033,17.824722085098063,0.20901538331213596
sz_taxi/15T/medium,hd10_official_s0_100k,0.580188899426267,2.959328884548611,18.521123798076925,0.22048974150376388
sz_taxi/15T/long,hd10_official_s0_100k,0.5535869703006545,2.905027488425926,17.723470886752136,0.21704712051671063
sz_taxi/H/short,hd10_official_s0_100k,0.5987723857166097,1.9591233995225694,8.02746112530048,0.1440678837326269
bitbrains_fast_storage/5T/short,hd10_official_s0_100k,0.7626498891796482,188.73007579691807,2230809.19376199,0.45022679026524437
bitbrains_fast_storage/5T/medium,hd10_official_s0_100k,1.0934587736644323,304.56640688263445,3778333.657299303,0.7486924728107619
bitbrains_fast_storage/5T/long,hd10_official_s0_100k,1.0306142602217536,346.2746499114258,4007399.489894982,0.7521588210225677
bitbrains_fast_storage/H/short,hd10_official_s0_100k,1.1890053946373376,261.0445167039389,2339959.6153852744,0.5793415785152577
bitbrains_rnd/5T/short,hd10_official_s0_100k,1.7693642040426718,135.8089109415285,1981703.5823816087,0.4540727105878635
bitbrains_rnd/5T/medium,hd10_official_s0_100k,4.539798766533419,152.11778570030717,2317364.5823002374,0.615258139202256
bitbrains_rnd/5T/long,hd10_official_s0_100k,3.515366837941078,227.80181437941272,3437776.742254412,0.7942959746299993
bitbrains_rnd/H/short,hd10_official_s0_100k,5.934239202664243,141.79213908188058,1754673.4955884235,0.5560111744429173
bizitobs_application/10S/short,hd10_official_s0_100k,3.212442290631106,1034.1910416666667,6763378.915555555,0.03256102874406799
bizitobs_application/10S/medium,hd10_official_s0_100k,6.653039885286202,2054.2533333333336,21152293.546666667,0.07672681177375514
bizitobs_application/10S/long,hd10_official_s0_100k,7.149498657751639,2306.525833333333,19987847.395555556,0.08556967521502898
bizitobs_l2c/5T/short,hd10_official_s0_100k,0.2784683199223728,2.6837652297247026,21.408433314732143,0.07521574741477405
bizitobs_l2c/5T/medium,hd10_official_s0_100k,0.8088481312845892,8.510374813988095,166.1640943877551,0.39050366110423834
bizitobs_l2c/5T/long,hd10_official_s0_100k,1.2727201442382206,13.705479910714285,395.6034523809524,0.7008442971553085
bizitobs_l2c/H/short,hd10_official_s0_100k,0.7706823211764137,7.906398228236607,155.9914744543651,0.3250376806205171
bizitobs_l2c/H/medium,hd10_official_s0_100k,1.0896867767605372,11.072621372767857,222.60479910714287,0.5235285846731427
bizitobs_l2c/H/long,hd10_official_s0_100k,1.1305760797869473,11.354003131200397,235.77770337301587,0.5710907268872472
bizitobs_service/10S/short,hd10_official_s0_100k,1.9651336251961646,51.97260582010582,33419.91619047619,0.031222818371966166
bizitobs_service/10S/medium,hd10_official_s0_100k,3.6211545864996415,112.52656746031747,172696.21841269842,0.08033662517158097
bizitobs_service/10S/long,hd10_official_s0_100k,3.645373723589651,126.98060846560847,214095.69862433863,0.09090350327190103
car_parts/M/short,hd10_official_s0_100k,0.8582047150410829,0.4730921776088503,1.357245256594489,0.9793983380816021
covid_deaths/D/short,hd10_official_s0_100k,44.54599040483226,208.00184837092732,1583520.1443609023,0.06252807543568799
electricity/15T/short,hd10_official_s0_100k,1.385018254627279,70.67598826365428,182072.59188344594,0.1133956465140333
electricity/15T/medium,hd10_official_s0_100k,1.5701977042358495,96.61158790822073,595121.1232792793,0.13442260491185307
electricity/15T/long,hd10_official_s0_100k,1.8522644006498752,132.36835322822822,1743744.501081081,0.1698762144658327
electricity/D/short,hd10_official_s0_100k,1.5644562040887713,4806.918882882883,1572798016.1706667,0.06226459827733641
electricity/H/short,hd10_official_s0_100k,1.029183416131905,194.78101668074325,1968488.5202252252,0.07630453591112402
electricity/H/medium,hd10_official_s0_100k,1.2321178030314013,293.5752829391892,7579969.73981982,0.09325332049845445
electricity/H/long,hd10_official_s0_100k,1.383985682919713,341.2352222222222,11600346.1366006,0.11119438173940205
electricity/W/short,hd10_official_s0_100k,2.018488368674013,46874.47747747748,157634954485.391,0.0837682466631649
ett1/15T/short,hd10_official_s0_100k,0.8158369826869212,1.311035882859003,5.578639439174107,0.19341650552192366
ett1/15T/medium,hd10_official_s0_100k,1.3536058310299026,2.373531746031746,19.499437003968254,0.3749512635959824
ett1/15T/long,hd10_official_s0_100k,1.3865849323244128,2.448042534722222,19.756639384920636,0.38788362147528976
ett1/D/short,hd10_official_s0_100k,1.7758754159544907,135.42080853174602,39943.63492063492,0.27641604522843644
ett1/H/short,hd10_official_s0_100k,0.8669074311225532,5.27402576264881,114.31195126488095,0.19615894144683704
ett1/H/medium,hd10_official_s0_100k,1.3807233629884528,7.823232886904762,182.66227678571428,0.3067522787401607
ett1/H/long,hd10_official_s0_100k,1.535528201457871,8.332844018683863,196.18520171957672,0.3282239271916101
ett1/W/short,hd10_official_s0_100k,1.593264808692011,867.3868582589286,1159837.0714285714,0.25841985765684916
ett2/15T/short,hd10_official_s0_100k,0.9207174310073697,2.1935477120535714,12.324963960193452,0.08283285141247672
ett2/15T/medium,hd10_official_s0_100k,1.2021433576642,2.9895259796626985,23.9171875,0.1320667830362866
ett2/15T/long,hd10_official_s0_100k,1.1990686803095494,2.9549665178571427,21.844630456349208,0.1332169426529758
ett2/D/short,hd10_official_s0_100k,1.5310533018626205,225.679439484127,122835.1746031746,0.1020025906250033
ett2/H/short,hd10_official_s0_100k,0.8147662099147733,7.0947265625,132.21532738095237,0.07101603862900606
ett2/H/medium,hd10_official_s0_100k,1.3417651417353154,13.635484095982143,479.4876488095238,0.15382234782549836
ett2/H/long,hd10_official_s0_100k,1.2935146514741582,12.737014302248678,434.2851851851852,0.14650325339939071
ett2/W/short,hd10_official_s0_100k,1.1763064421854506,1768.203125,6200040.571428572,0.11565618111871033
hierarchical_sales/D/short,hd10_official_s0_100k,0.7482233242534619,2.3115967503358825,29.17266044853245,0.5767303688272495
hierarchical_sales/W/short,hd10_official_s0_100k,0.7785562750624128,9.483738786083157,502.31263241525426,0.36251894590900613
hospital/M/short,hd10_official_s0_100k,0.7673099108787809,18.337229397544547,2993.3848326814427,0.05285891247631433
jena_weather/10T/short,hd10_official_s0_100k,0.33805756063478454,6.386369977678571,860.3646825396826,0.03127059551285915
jena_weather/10T/medium,hd10_official_s0_100k,0.7523759142735547,11.577875856782107,1763.9399711399712,0.0604120775816477
jena_weather/10T/long,hd10_official_s0_100k,0.8437111745572128,12.297314194775133,1749.922619047619,0.06482741417019187
jena_weather/D/short,hd10_official_s0_100k,1.5284208865003508,11.305057973710317,482.1561507936508,0.05550063039660813
jena_weather/H/short,hd10_official_s0_100k,0.5842721789909631,9.174930327119883,1136.3219507101087,0.04644910684181491
jena_weather/H/medium,hd10_official_s0_100k,0.9696249854844088,12.953021918402778,1577.5142857142857,0.06562818661227039
jena_weather/H/long,hd10_official_s0_100k,0.9846159434694436,13.44356605489418,1441.491931216931,0.06821817002255827
kdd_cup_2018/D/short,hd10_official_s0_100k,1.2137214962623712,21.428269247352716,2943.885534069752,0.3822765199782738
kdd_cup_2018/H/short,hd10_official_s0_100k,0.9607115061965078,23.207711239485196,4776.156459939533,0.39235115934569254
kdd_cup_2018/H/medium,hd10_official_s0_100k,1.117599159579789,26.6770233865235,5402.620768299158,0.47868979467125755
kdd_cup_2018/H/long,hd10_official_s0_100k,1.0669222044501196,24.964487937292375,4264.6234708315515,0.5094853511036289
m4_daily/D/short,hd10_official_s0_100k,3.3636134625782113,177.72755183514144,349846.53553685494,0.02192495979862271
m4_hourly/H/short,hd10_official_s0_100k,1.1040294027804356,188.69165157004832,507974.95652173914,0.0221787717923872
m4_monthly/M/short,hd10_official_s0_100k,1.0384767385115412,600.8625536747685,2038095.2073888888,0.10020043869268119
m4_quarterly/Q/short,hd10_official_s0_100k,1.298460807747317,601.7119736328125,1945424.988,0.08070987114804719
