dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
loop_seattle/5T/short,official_moirai2_lb,0.5417710089809485,3.4219991489091526,39.24714141310307,0.04626261684996116
loop_seattle/5T/medium,official_moirai2_lb,0.8645624441681684,5.4459666860165115,91.64151509287926,0.08025791290585507
loop_seattle/5T/long,official_moirai2_lb,0.9282420212239682,5.852678000659328,102.15283554064901,0.0870999564825457
loop_seattle/D/short,official_moirai2_lb,0.8935706674722417,2.9599583172084625,18.762724941950463,0.04312709315888209
loop_seattle/H/short,official_moirai2_lb,0.8503301466593743,4.191839393738798,61.747363795760684,0.06182777995925513
loop_seattle/H/medium,official_moirai2_lb,0.9398095821653563,4.580951085203818,71.71796955624355,0.06914147904650632
loop_seattle/H/long,official_moirai2_lb,0.9038061505963757,4.31444748129515,63.729783711730306,0.06565488608820885
m_dense/D/short,official_moirai2_lb,0.6916432832082873,49.77230902777778,9495.891851851851,0.0700939691759856
m_dense/H/short,official_moirai2_lb,0.7929656217002372,89.18577690972222,46547.97555555555,0.13187200573017047
m_dense/H/medium,official_moirai2_lb,0.7038857620378801,81.753125,39792.328888888886,0.12004675693062758
m_dense/H/long,official_moirai2_lb,0.7182017143344666,82.4968287037037,37458.57975308642,0.1195886254452507
sz_taxi/15T/short,official_moirai2_lb,0.5463943126712564,2.7391170180324234,16.78098693027892,0.20139019702871702
sz_taxi/15T/medium,official_moirai2_lb,0.5519926555291839,2.82768304286859,17.26103265224359,0.21361442885112053
sz_taxi/15T/long,official_moirai2_lb,0.5302703137615229,2.822140981125356,17.47762197293447,0.21665456979607178
sz_taxi/H/short,official_moirai2_lb,0.563274695844939,1.8513973920773237,7.243575136885684,0.13598862108128199
bitbrains_fast_storage/5T/short,official_moirai2_lb,0.6866459720464825,173.20324562699932,2162098.6871775496,0.4302492125419193
