run_name,method,lr,steps,seed,final_loss,initial_loss,n_points
baseline_lr2e3_s0_10k,baseline,2e-3,10K,0,0.135534,0.339907,100
baseline_lr2e3_seed1_10k,baseline,2e-3,10K,1,0.135858,0.339555,100
baseline_lr2e3_seed2_10k,baseline,2e-3,10K,2,0.135656,0.338113,100
baseline_lr2e3_seed42_10k,baseline,2e-3,10K,42,0.134537,0.337812,100
baseline_lr2e3_seed7_10k,baseline,2e-3,10K,7,0.134946,0.337804,100
baseline_lr3e3_s0_10k,baseline,3e-3,10K,0,0.135225,0.323128,100
baseline_m2d_s0_100k,baseline,1e-3,100K,0,0.118530,0.359988,1000
baseline_m2d_s1_100k,baseline,1e-3,100K,1,0.118499,0.361733,1000
baseline_m2d_s2_100k,baseline,1e-3,100K,2,0.118974,0.361410,1000
baseline_m2d_s42_100k,baseline,1e-3,100K,42,0.117866,0.356470,1000
baseline_m2d_s7_100k,baseline,1e-3,100K,7,0.119433,0.364891,1000
baseline_m2d_seed0_10k,baseline,1e-3,10K,0,0.136552,0.357658,100
baseline_m2d_seed1_10k,baseline,1e-3,10K,1,0.136472,0.358365,200
baseline_m2d_seed2_10k,baseline,1e-3,10K,2,0.135827,0.361527,100
baseline_m2d_seed42_10k,baseline,1e-3,10K,42,0.136485,0.359585,100
baseline_m2d_seed7_10k,baseline,1e-3,10K,7,0.136591,0.362500,100
bl_cosine_floor10_s0_100k,baseline,1e-3,100K,0,0.120683,0.358306,1000
bl_wsd_s0_100k,baseline,1e-3,100K,0,0.130103,0.360625,574
diff4_hd10_m2d_seed0_10k,hd10,1e-3,10K,0,0.137365,0.374515,100
ds48_hd10_m2d_seed0_10k,hd10,1e-3,10K,0,0.136049,0.362011,100
ds48_hd10_m2d_seed1_10k,hd10,1e-3,10K,1,0.134609,0.361833,100
dup_hd10_m2d_seed0_10k,hd10,1e-3,10K,0,N/A,N/A,0
dup_hd10_m2d_seed1_10k,hd10,1e-3,10K,1,0.141662,0.360191,56
dup_hd10_m2d_seed2_10k,hd10,1e-3,10K,2,0.136146,0.355200,100
duplicate_lr2e3_seed0_10k,duplicate,2e-3,10K,0,0.135467,0.337507,100
duplicate_lr2e3_seed1_10k,duplicate,2e-3,10K,1,0.136053,0.337147,100
duplicate_lr2e3_seed2_10k,duplicate,2e-3,10K,2,0.135216,0.339155,100
duplicate_lr2e3_seed42_10k,duplicate,2e-3,10K,42,0.134435,0.337543,100
duplicate_lr2e3_seed7_10k,duplicate,2e-3,10K,7,0.135801,0.335622,100
duplicate_m2d_s0_100k,duplicate,1e-3,100K,0,0.119170,0.356322,1000
duplicate_m2d_s1_100k,duplicate,1e-3,100K,1,0.119267,0.359296,1000
duplicate_m2d_s2_100k,duplicate,1e-3,100K,2,0.118500,0.363026,1000
duplicate_m2d_s42_100k,duplicate,1e-3,100K,42,0.118183,0.355521,1000
duplicate_m2d_s7_100k,duplicate,1e-3,100K,7,0.119742,0.362521,1000
duplicate_m2d_seed0_10k,duplicate,1e-3,10K,0,0.137641,0.358974,100
duplicate_m2d_seed1_10k,duplicate,1e-3,10K,1,0.136587,0.359361,100
duplicate_m2d_seed2_10k,duplicate,1e-3,10K,2,0.136977,0.353779,100
duplicate_m2d_seed42_10k,duplicate,1e-3,10K,42,0.135521,0.358723,100
duplicate_m2d_seed7_10k,duplicate,1e-3,10K,7,0.136482,0.361764,100
ema_hint_m2d_seed0_10k,ema,1e-3,10K,0,0.136533,0.360103,100
hd0_m2d_seed0_10k,hd0,1e-3,10K,0,0.135061,0.359003,100
hd0_m2d_seed1_10k,hd0,1e-3,10K,1,0.135133,0.360389,100
hd0_m2d_seed2_10k,hd0,1e-3,10K,2,0.134396,0.361516,100
hd0_m2d_seed42_10k,hd0,1e-3,10K,42,0.133581,0.359587,100
hd0_m2d_seed7_10k,hd0,1e-3,10K,7,0.135151,0.359866,100
hd10_cosine_floor10_s0_100k,hd10_cosine_floor,1e-3,100K,0,0.118581,0.360869,1000
hd10_drop20_m2d_seed0_10k,hd20,1e-3,10K,0,0.136849,0.366241,100
hd10_lat4_m2d_seed0_10k,hd10_latent,1e-3,10K,0,N/A,N/A,0
hd10_lr2e3_s0_10k,hd10,2e-3,10K,0,0.134633,0.341002,100
hd10_lr2e3_seed1_10k,hd10,2e-3,10K,1,0.134131,0.335565,100
hd10_lr2e3_seed2_10k,hd10,2e-3,10K,2,0.134031,0.336760,100
hd10_lr2e3_seed42_10k,hd10,2e-3,10K,42,0.133105,0.331882,100
hd10_lr2e3_seed7_10k,hd10,2e-3,10K,7,0.133674,0.336460,100
hd10_lr3e3_s0_10k,hd10,3e-3,10K,0,0.135026,0.324836,100
hd10_m2d_s0_100k,hd10,1e-3,100K,0,0.114427,0.364081,1000
hd10_m2d_s1_100k,hd10,1e-3,100K,1,0.117022,0.358455,1000
hd10_m2d_s2_100k,hd10,1e-3,100K,2,0.115507,0.358514,1000
hd10_m2d_s42_100k,hd10,1e-3,100K,42,0.115505,0.359158,1000
hd10_m2d_s7_100k,hd10,1e-3,100K,7,0.117165,0.359286,1000
hd10_m2d_seed0_10k,hd10,1e-3,10K,0,0.135408,0.359791,100
hd10_m2d_seed1_10k,hd10,1e-3,10K,1,0.135016,0.362088,100
hd10_m2d_seed2_10k,hd10,1e-3,10K,2,0.134973,0.361546,100
hd10_m2d_seed42_10k,hd10,1e-3,10K,42,0.134284,0.360202,100
hd10_m2d_seed7_10k,hd10,1e-3,10K,7,0.135295,0.358987,100
hd10_s32_m2d_seed0_10k,hd10_s32,1e-3,10K,0,0.136960,0.362090,100
hd10_s4_m2d_seed0_10k,hd10_s4,1e-3,10K,0,0.135639,0.360691,100
hd10_s8_m2d_seed0_10k,hd10_s8,1e-3,10K,0,0.242419,0.359246,2
hd10_wsd_s0_100k,hd10_wsd,1e-3,100K,0,0.128430,0.357322,562
hd10sd20_m2d_seed0_10k,hd20,1e-3,10K,0,0.135895,0.360272,100
hd2_m2d_seed0_10k,other,1e-3,10K,0,0.136157,0.361183,100
hd30_m2d_seed0_10k,other,1e-3,10K,0,0.135520,0.363492,100
hd3_m2d_seed0_10k,other,1e-3,10K,0,0.137014,0.364460,100
hd5_m2d_seed0_10k,other,1e-3,10K,0,0.135831,0.363841,100
