condition,steps,warmup,seed,raw_geomean_mase,normalized_mase
baseline,10000,1000,0,1.2185,0.8666
baseline,10000,1000,1,1.1955,0.8503
baseline,10000,1000,2,1.2134,0.8630
baseline,10000,1000,7,1.2198,0.8676
baseline,10000,1000,42,1.2111,0.8613
d4,10000,1000,0,1.1708,0.8327
d4,10000,1000,1,1.1859,0.8435
d4,10000,1000,2,1.1646,0.8283
d4,10000,1000,7,1.1842,0.8422
d4,10000,1000,42,1.1846,0.8425
d4_dropout,10000,1000,0,1.1577,0.8234
d4_dropout,10000,1000,1,1.1902,0.8465
d4_dropout,10000,1000,2,1.1798,0.8391
d4_dropout,10000,1000,7,1.1698,0.8320
d4_dropout,10000,1000,42,1.1852,0.8430
zero,10000,1000,0,1.2072,0.8586
zero,10000,1000,1,1.2286,0.8738
zero,10000,1000,2,1.1846,0.8425
zero,10000,1000,7,1.2054,0.8573
zero,10000,1000,42,1.2048,0.8569
duplicate,10000,1000,0,1.2340,0.8777
duplicate,10000,1000,1,1.2016,0.8546
duplicate,10000,1000,2,1.2179,0.8662
duplicate,10000,1000,7,1.2094,0.8602
duplicate,10000,1000,42,1.2177,0.8661
